"Bescheid-Nr.
Notice-no."; "Bezeichnung des Stoffes oder Gegenstandes
Name (trade name) of the substance or article"; "Identifikation
Identification"; "Lagergruppe+Verträglichkeitsgruppe
Storage group+compatibility group"; "Sicherheitsrelevante Verpackungsmerkmale
Safety-relevant packaging characteristics (some only in German)"
"D/BAM-3301/17"; "ZPP (Zirconium Potassium Perchlorate)"; ""; "1.1A"; "In folgender besonderen Verpackung:
 Innen:
Dose aus leitfähigem Kunststoff,
beinhaltet maximal 41 g NEM

Zwischen:
nicht erforderlich

Aussen:
Kiste aus leitfähigem Kunststoff,
beinhaltet maximal 12 Innenverpackungen"
"D/BAM-0593/18"; "N565"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit mindestens 1,2 l Nennvolumen, beinhaltet maximal 1 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 6 Innenverpackungen

alternativ:

Innen:
Behälter aus Kunststoff mit mindestens 0,6 l Nennvolumen, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 12 Innenverpackungen"
"D/BAM-0606/18"; "N565"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit mindestens 1,2 l Nennvolumen, beinhaltet maximal 1 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G/X8/S/..../FIN/VTT-089), beinhaltet maximal 6 Innenverpackungen

alternativ:

Innen:
Behälter aus Kunststoff mit mindestens 0,6 l Nennvolumen, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G/X7/S/..../FIN/TTK-180),
beinhaltet maximal 12 Innenverpackungen"
"D/BAM-0251/18"; "Bi-Directional Booster PYX"; ""; "1.4D"; "In folgender besonderen Verpackung:
 Innen:
Nicht mehr als 100 Zündverstärker sind in Löcher in 35 mm dicken Schaumstoffplatten aus Polyethylen oder Polyurethan zu stecken. Die Zündverstärker müssen untereinander einen seitlichen Mindestabstand von 28 mm haben. Zwei dieser Schaumstoffplatten befinden sich in der Außenverpackung.

Zwischen:
Zwischen den Platten sowie über der oberen und unter der unteren Platte muss sich je eine 15 mm dicke Schaumstoffplatte aus Polyethylen oder Polyurethan befinden.

Außen:
Kisten aus Pappe (UN4G)"
"D/BAM-2560/17"; "Pentex W"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0263/18"; "Treibladungshülsen, verbrennlich, leer"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff oder aus Textilgewebe, beinhaltet die Treibladungshülsen in loser Schüttung

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G), beinhaltet eine Innenverpackung"
"D/BAM-0264/18"; "grobstückige Produktionsreste von Treibladungshülsen, verbrennlich, leer"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff oder aus Textilgewebe, beinhaltet die Produktionsreste in loser Schüttung. Die Innenverpackung darf maximal 25 kg NEM enthalten.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4GW/Y422/S/../D/BAM 12550   ** ), beinhaltet eine Innenverpackung"
"D/BAM-1562/17"; "R 901"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit 
maximal 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 10 kg NEM"
"D/BAM-1563/17"; "R 902"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit 
maximal 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 10 kg NEM"
"D/BAM-1564/17"; "R 903"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit 
maximal 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 10 kg NEM"
"D/BAM-1565/17"; "R 904"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit 
maximal 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 10 kg NEM"
"D/BAM-1566/17"; "R 905"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit 
maximal 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 10 kg NEM"
"D/BAM-1567/17"; "R 907"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit 
maximal 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 10 kg NEM"
"D/BAM-3324/17"; "BP 01 Light Pistol"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
Kanister aus Kunststoff oder Weißblech mit einem Nennvolumen von mindestens 5 Litern, beinhaltet maximal 4 kg NEM."
"D/BAM-3325/17"; "BP 02 Pistol"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
Kanister aus Kunststoff oder Weißblech mit einem Nennvolumen von mindestens 5 Litern, beinhaltet maximal 4 kg NEM."
"D/BAM-3326/17"; "BP03 - Magnum Pistol"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
Kanister aus Kunststoff oder Weißblech mit einem Nennvolumen von mindestens 5 Litern, beinhaltet maximal 4 kg NEM."
"D/BAM-3327/17"; "BP 06 Light Rifle"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
Kanister aus Kunststoff oder Weißblech mit einem Nennvolumen von mindestens 5 Litern, beinhaltet maximal 4 kg NEM."
"D/BAM-3328/17"; "BP 07 Medium Rifle"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
Kanister aus Kunststoff oder Weißblech mit einem Nennvolumen von mindestens 5 Litern, beinhaltet maximal 4 kg NEM."
"D/BAM-3329/17"; "BP08 - Heavy Rifle"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
Kanister aus Kunststoff oder Weißblech mit einem Nennvolumen von mindestens 5 Litern, beinhaltet maximal 4 kg NEM."
"D/BAM-3330/17"; "BP09 - Magnum Rifle"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
Kanister aus Kunststoff oder Weißblech mit einem Nennvolumen von mindestens 5 Litern, beinhaltet maximal 4 kg NEM."
"D/BAM-0042/18"; "UPPER COMPOSITE BRE"; "gemäß Zeichnung Z 3565012"; "1.4S"; "In folgender besonderen Verpackung:
 Innen: 
nicht erforderlich

Zwischen: 
nicht erforderlich

Außen:
Container 01362 

oder

Innen: 
nicht erforderlich

Zwischen: 
nicht erforderlich

Außen: 
Belugacontainer APCO A0.DE.22680"
"D/BAM-3361/17"; "ADS-CM-Modul mit und ohne Deflektor"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Pro Außenverpackung sind maximal 60 kg NEM enthalten."
"D/BAM-3390/17"; "diverse Treibladungspulver(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.1C"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Befristung:
Der Bescheid verliert seine Gültigkeit mit Ablauf des Temporal limitation:
The notice will become invalid by the end of  2018-01-31."
"D/BAM-3126/17"; "125 mm HL Geschoss BK 14"; ""; "1.1F"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-3211/17"; "WPT 105"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Eine Versandverpackung beinhaltet maximal 18,5 kg NEM.

Es sind keine Innenverpackungen erforderlich, wenn als Außenverpackungen Fässer verwendet werden.

Werden Fässer aus Metall (1A2 oder 1B2) als Außenverpackung verwendet, so müssen diese so hergestellt sein, dass eine Explosionsgefahr infolge eines Anstiegs des Innendrucks auf Grund innerer oder äußerer Ursachen verhindert wird.

Befristung:
Der Bescheid verliert seine Gültigkeit mit Ablauf des Temporal limitation:
The notice will become invalid by the end of  2018-03-31."
"D/BAM-3017/17"; "Electric Detonator 0015 XS"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Papprohr mit je einem Zünder

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (4A),
verstärkt mit 15 mm Sperrholz und 1.5 mm Stahlplatten an beiden Enden der Papprohre"
"D/BAM-3018/17"; "Electric Detonator 0015 XS"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kisten aus Pappe (4G)"
"D/BAM-2851/17"; "HOHLLADUNGEN, ohne Zündmittel(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Werden die Hohlladungen einzeln verpackt, müssen die konischen Höhlungen nach unten gerichtet und das Versandstück gemäß ADR/RID 2017 Absatz 5.2.1.10.1 bzw. gemäß IMDG-Code 2016 (Amendment 38-16) Absatz 5.2.1.7.1 bzw. gemäß ICAO-TI Edition 2017-2018 Absatz 4;1.1.13 gekennzeichnet sein. Werden die Hohlladungen paarweise verpackt, müssen die konischen Höhlungen einander zugewandt sein, um den Hohlladungseffekt im Falle einer ungewollten Auslösung möglichst gering zu halten."
"D/BAM-2852/17"; "Shaped Charge 61g Puncher Slot undShaped Charge 61g Slot"; ""; "1.4D"; "In folgender besonderen Verpackung:
 Innen:
Kiste aus Pappe mit Platten aus Metallschaum mit acht oder neun Aussparungen für Hohlladungen, so in einem Kreis angeordnet, dass die Höhlungen der Hohlladungen zur Mitte der Platten zeigen. In der Mitte jeder Platte befindet sich eine mit Kunststoff ausgefüllte Bohrung, die einen Hohlladungseffekt so schwächt, dass die gegenüberliegenden Hohlladungen nicht initiiert werden.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)

Nebenbestimmungen:
 Auf Grund der besonderen Anordnung der Hohlladungen ist die Sondervorschrift PP70 nicht anzuwenden."
"D/BAM-1624/17"; "Zerstörladung MB48"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-2414/17"; "LSC-Linearcutter AES"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0215/17"; "B2 Granules0589.EXP.0213/17"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, thermisch verschweißt, der einen Sack aus antistatischem Kunststoff mit maximal 125 g NEM enthält

Zwischen:
Kiste aus Pappe, beinhaltet eine Innenverpackung in einer Schaumstoffhalterung


Außen:
Kiste aus Pappe (UN4G) mit unterteilenden Trennwänden aus Pappe, die die Kiste in 2x4 Felder unterteilen. In jedem Feld befindet sich eine Zwischenverpackung. Eine Außenverpackung beinhaltet maximal 8 Zwischenverpackungen mit insgesamt nicht mehr als 1 kg NEM."
"D/BAM-2855/17"; "Riocord F+5,0"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
"D/BAM-2856/17"; "Cordtex Premium undCordtex 18"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
"D/BAM-2841/17"; "delaborierte Explosivstoffe aus Fundmunition"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff mit maximal 30 kg NEM

Zwischen:
Sack aus Kunststoff, beinhaltet eine Innenverpackung

Außen:
-Kiste aus Naturholz mit abnehmbaren Deckel (UN4C1)
-Kiste aus starrem Kunststoff mit abnehmbaren Deckel (UN4H2)
-Kiste aus Sperrholz (UN4D)
-Fass aus Kunststoff mit abnehmbaren Deckel (UN1H2)
-IBC aus starrem Kunststoff (UN11H2)

Befristung:
Der Bescheid verliert seine Gültigkeit mit Ablauf des Temporal limitation:
The notice will become invalid by the end of  2017-12-31."
"D/BAM-2224/17"; "Teststellung Kategorie 1,Transportkoffer 1(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.1E"; "In folgender besonderen Verpackung:
 Innen:
Glasgefäß mit Spanndeckelverschluss, beinhaltet maximal 0,3 kg NEM.

Zwischen:
Schaumeinlagen, die die Außenverpackung komplett ausfüllen und Aussparungen für die Innenverpackungen aufweisen.

Außen:
Kiste aus Aluminium (4B), beinhaltet maximal 24 Innenverpackungen mit insgesamt nicht mehr als 7,2 kg NEM.

Die beschriebene Verpackung ist Bestandteil des Gegenstandes ""Teststellung Kategorie 1, Transportkoffer 1"". Eine darüber hinausgehende Außenverpackung ist für die Lagerung nicht erforderlich.

Befristung:
Der Bescheid verliert seine Gültigkeit mit Ablauf des Temporal limitation:
The notice will become invalid by the end of  2017-12-31."
"D/BAM-2696/17"; "Teststellung Kategorie 1 und 2,Transportkoffer 3"; ""; "1.1E"; "In folgender besonderen Verpackung:
 Innen:
Glasgefäß mit Spanndeckelverschluss, beinhaltet maximal 0,3 kg EGDN-haltigen Sprengstoff.

Zwischen:
Schaumeinlagen, die die Außenverpackung komplett ausfüllen und Aussparungen für die Innenverpackungen aufweisen.

Außen:
Kiste aus Aluminium (4B), beinhaltet maximal 24 Innenverpackungen mit insgesamt nicht mehr als 7,2 kg NEM.

Die beschriebene Verpackung ist Bestandteil des Gegenstandes ""Teststellung Kategorie 1 und 2, Transportkoffer 3"". Eine darüber hinausgehende Außenverpackung ist für die Lagerung nicht erforderlich.

Befristung:
Der Bescheid verliert seine Gültigkeit mit Ablauf des Temporal limitation:
The notice will become invalid by the end of  2017-12-31."
"D/BAM-2697/17"; "Teststellung Kategorie 2, Transportkoffer 1,(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.1E"; "In folgender besonderen Verpackung:
 Innen:
Glasgefäß mit Spanndeckelverschluss, beinhaltet maximal 0,3 kg NEM.

Zwischen:
Schaumeinlagen, die die Außenverpackung komplett ausfüllen und Aussparungen für die Innenverpackungen aufweisen.

Außen:
Kiste aus Aluminium (4B), beinhaltet maximal 24 Innenverpackungen mit insgesamt nicht mehr als 7,2 kg NEM.

Die beschriebene Verpackung ist Bestandteil des Gegenstandes ""Teststellung Kategorie 2, Transportkoffer 1"". Eine darüber hinausgehende Außenverpackung ist für die Lagerung nicht erforderlich.

Befristung:
Der Bescheid verliert seine Gültigkeit mit Ablauf des Temporal limitation:
The notice will become invalid by the end of  2017-12-31."
"D/BAM-3329/16"; "Exel Connectadet SL"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, beinhaltet nicht mehr als 10 Gegenstände. Ein Zündschlauch ist jeweils in Schlauchringe gelegt und alle Gegenstände sind oberhalb der Verbinderblöcke durch Klebeband aneinander gebündelt. Die Verbinderblöcke mit den Sprengkapseln liegen alle an der gleichen kurzen Seite der Außenverpackung. Die beiden kurzen Seiten sowie die obere und untere Seite der Außenverpackung sind durch eine Einlage aus Pappe zusätzlich verstärkt (BB1xPE1572g/m2).

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G/Y28/S/YR/S/SP-11 74 12-315XLS)"
"D/BAM-3334/16"; "Exel Connectadet SL"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, beinhaltet nicht mehr als 10 Gegenstände. Ein Zündschlauch ist jeweils in Schlauchringe gelegt und alle Gegenstände sind oberhalb der Verbinderblöcke durch Klebeband aneinander gebündelt. Die Verbinderblöcke mit den Sprengkapseln liegen alle an der gleichen kurzen Seite der Außenverpackung. Die beiden kurzen Seiten sowie die obere und untere Seite der Außenverpackung sind durch eine Einlage aus Pappe zusätzlich verstärkt (BB1xPE1572g/m2).

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)"
"D/BAM-2308/17"; "Vesuvit THH"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Es sind keine Innenverpackungen erforderlich, wenn Fässer als Außenverpackung verwendet werden."
"D/BAM-2303/17"; "Shaped Charge 22.7g Frac Optimized und Shaped Charge 22.7g Fractune GH"; ""; "1.4D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Werden die Hohlladungen einzeln verpackt, müssen die konischen Höhlungen nach unten gerichtet und die Ausrichtung des Versandstücks gekennzeichnet sein. Werden die Hohlladungen paarweise verpackt, müssen die konischen Höhlungen einander zugewandt sein, um den Hohlladungseffekt im Falle einer ungewollten Auslösung möglichst gering zu halten."
"D/BAM-0989/17"; "Hexacord T 150 und Hexacord T 165"; ""; "1.4D"; "In folgender besonderen Verpackung:
 Innen:
Quadratische Kartoneinlage aus zweiwelliger Wellpappe (Dicke: mind. 6mm, 2.4 BC-Welle), die die gesamte Außenverpackung ausfüllt. Auf der Kartoneinlage liegt zentriert die Sprengschnur, flach zu einer einzelnen Schnecke gewickelt. Das äußere Ende der Sprengschnur läuft sicher befestigt zweimal über einen Streifen aus Pappe (Dicke: 1,2 mm) quer über die gesamte Schnecke. Die einzelnen Wicklungen sind jeweils durch einen Schlauch aus Fiberglas oder Weich-PVC voneinander getrennt. Der Schlauch ist groß genug um eine Überzündung auf die benachbarte Windung zu verhindern. Die Innenverpackung ist vakuumverpackt in einem Sack aus Kunststoff.

Zwischen:
Zwei dreieckige Kartoneinlagen aus zweiwelliger Wellpappe (Dicke: mind. 6mm, 2.4 BC-Welle) oberhalb der Innenverpackung, die rechts und links neben dem quer über die Schnecke geführten Sprengschnurendes liegen
---------------------------------------
und die die gesamten Außenverpackung ausfüllen. Zwischen der obersten Innenverpackung und der Außenverpackung befindet sich eine weitere Kartoneinlage.


Außen:
Kiste aus Pappe (4G),
in der sich maximal 155,5 Meter (510ft) Sprengschnur mit insgesamt nicht mehr als 2,8kg NEM befinden.

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z.B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein."
"D/BAM-0990/17"; "Hexacord T 150 undHexacord T 165"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
"D/BAM-0991/17"; "Hexacord PT 150"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
"D/BAM-0992/17"; "HNS Cord PT 250"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
"D/BAM-0993/17"; "Octoslim PT 185"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
"D/BAM-3603/14"; "Detonating Cord PYX Cord T 300"; ""; "1.4D"; "In folgender besonderen Verpackung:
 Innen:
Quadratische Kartoneinlage aus zweiwelliger Wellpappe (Dicke: mind. 6mm, 2.4 BC-Welle), die die gesamte Außenverpackung ausfüllt. Auf der Kartoneinlage liegt zentriert die Sprengschnur, flach zu einer einzelnen Schnecke gewickelt. Das äußere Ende der Sprengschnur läuft sicher befestigt zweimal quer über die gesamte Schnecke. Die Innenverpackung ist vakuumverpackt in einem Sack aus Kunststoff.

Zwischen:
Zwischen den Innenverpackungen: Quadratische Kartoneinlage aus zweiwelliger Wellpappe (Dicke: mind. 6mm, 2.4 BC-Welle), die die gesamten Außenverpackung ausfüllt. Zwischen der obersten Innenverpackung und der Außenverpackung befindet sich eine weitere Kartoneinlage dieser Art.

Außen:
Kiste aus Pappe (4G),
in der sich maximal 156 Meter (512ft) Sprengschnur mit insgesamt nicht mehr als 2,8kg NEM befinden.
------------------------------------
Die Enden der Sprengschnur müssen dicht verschlossen sein, z.B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein."
"D/BAM-2339/17"; "PEFL-26A oderBP 01 Light Pistol"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit einem Volumen von mindestens 1100ml, beinhaltet maximal 0,5kg NEM.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe, beinhaltet maximal 12 Innenverpackungen.

Eine Außenverpackung beinhaltet maximal 6kg NEM."
"D/BAM-2340/17"; "PEFL-28 oderBP 02 Pistol"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit einem Volumen von mindestens 1100ml, beinhaltet maximal 0,5kg NEM.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe, beinhaltet maximal 12 Innenverpackungen.

Eine Außenverpackung beinhaltet maximal 6kg NEM."
"D/BAM-2341/17"; "BP 03 Magnum Pistol"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit einem Volumen von mindestens 1100ml, beinhaltet maximal 0,5kg NEM.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe, beinhaltet maximal 12 Innenverpackungen.

Eine Außenverpackung beinhaltet maximal 6kg NEM."
"D/BAM-2342/17"; "PEFL-19 oderBP 06 Light Rifle"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit einem Volumen von mindestens 1100ml, beinhaltet maximal 1kg NEM.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe, beinhaltet maximal 12 Innenverpackungen.

Eine Außenverpackung beinhaltet maximal 12kg NEM."
"D/BAM-2343/17"; "PEFL-18 or BP 07 Medium Rifle"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit einem Volumen von mindestens 1100ml, beinhaltet maximal 1kg NEM.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe, beinhaltet maximal 12 Innenverpackungen.

Eine Außenverpackung beinhaltet maximal 12kg NEM."
"D/BAM-2344/17"; "BP 08 Heavy Rifle"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit einem Volumen von mindestens 1100ml, beinhaltet maximal 1kg NEM.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe, beinhaltet maximal 12 Innenverpackungen.

Eine Außenverpackung beinhaltet maximal 12kg NEM."
"D/BAM-2345/17"; "BP 09 Magnum Rifle"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff mit einem Volumen von mindestens 1100ml, beinhaltet maximal 1kg NEM.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe, beinhaltet maximal 12 Innenverpackungen.

Eine Außenverpackung beinhaltet maximal 12kg NEM."
"D/BAM-0587/17"; "Pulverstangen NG"; ""; "1.3C"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-2263/17"; "Treibladungspulver(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus leitfähigem Polyethylen (äußeres Abmaß: 285 mm hoch, 95 mm tief und 230 mm breit),
beinhaltet maximal 2 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal zwei Innenverpackungen.

Eine Außenverpackung beinhaltet maximal 4 kg NEM."
"D/BAM-2264/17"; "Treibladungspulver(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus leitfähigem Polyethylen (äußeres Abmaß: 285 mm hoch, 95 mm tief und 230 mm breit),
beinhaltet maximal 2 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal zwei Innenverpackungen.

Eine Außenverpackung beinhaltet maximal 4 kg NEM."
"D/BAM-2266/17"; "SP2"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus leitfähigem Polyethylen (äußeres Abmaß: 285 mm hoch, 95 mm tief und 230 mm breit), 
beinhaltet maximal 2 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G), 
beinhaltet maximal zwei Innenverpackungen.

Eine Außenverpackung beinhaltet maximal 4 kg NEM."
"D/BAM-1639/17"; "C/S 0600"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Dose aus Kunststoff mit einem Volumen von mindestens 1 Liter, beinhaltet maximal 1 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN 4G), beinhaltet maximal 6 Innenverpackungen mit insgesamt maximal 6 kg NEM

alternativ

Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
UN 1H2/X33/S/..../B/CURTEC 060141
Fass aus Kunststoff mit abnehmbarem Deckel, beinhaltet maximal 20 kg NEM"
