Titel;Stadtbezirk;Projektfamilie;Themenfeld;Nummer;Projektgeneration;Nordwärts-Prämiert;Status;Kurzbeschreibung;Straße;Hausnummer;Unterbezirk Nr.;Unterbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Stadtbezirk Nr.;Stadtbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum;Ostwert;Hochwert;Geografische Koordinaten;Kommune
"Vision: Demenzdorf mit ""Garten der Sinne""";Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Wohnen;845;C;;umgesetzt/abgeschlossen;"Sachstand 06/2018: Diese Vision wird im Projekt Nr. 892 ""Quartiersentwicklung für ein gutes Leben im Alter – Bauprojekt Meuselwitzstraße 43"" beispielhaft realisiert.

Sachstand 03/2020: Diese Vision wird voraussichtlich ab dem Jahr 2021 beteiligungsbasiert weiterentwickelt.

Sachstand 07/2022: Bedingt durch die Corona-Situation und die mangelnden Tagungen des Kuratoriums und des Kuratoriumsvorstandes gab es kaum Beteiligungsmöglichkeiten. Die weitere Umsetzung ab 2023 wird geprüft.";;;;;;;;;;;;;;;;Dortmund
"Vision: Interkulturelle, barrierefreie Gemeinschaftsgärten für ""Jung und Alt""";Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökologie;Integration und Teilhabe;833;C;;umgesetzt/abgeschlossen;"Sachstand 03/2020: Diese Vision wird voraussichtlich ab dem Jahr 2021 beteiligungsbasiert weiterentwickelt.

Sachstand 05/2021: Der ""nordwärts""-Kuratoriumsvorstand und das ""nordwärts""-Kuratorium haben die nicht begonnenen ""nordwärts""-Teilprojekte priorisiert. Das Projekt hat eine hohe Priorität erhalten. Das Kuratorium hat die Empfehlung ausgesprochen, die Vision im Kontext der IGA-Entwicklung mit zu bearbeiten. Eine Abstimmung mit der Projektverantwortlichen des ""nordwärts""-Teilprojektes Nr. 939 ""Emscher Nordwärts: Gärten an der Emscher klein und groß"" hat ergeben, dass es Sinn machen würde, beide Projekte zu verknüpfen.

Sachstand 07/2022: Bedingt durch die Corona-Situation und die mangelnden Tagungen des Kuratoriums und des Kuratoriumsvorstandes gab es kaum Beteiligungsmöglichkeiten. Die weitere Umsetzung ab 2023 wird geprüft. 

Sachstand 08/2023: Die Gemeinschaftgärten werden im Rahmen der Entwicklung der IGA integriert und mitgedacht.";;;;;;;;;;;;;;;;Dortmund
Vision: Willkommenszentren mit Gründerberatung, Ausbildungs- und Qualifizierungsangeboten für Zuwanderer;Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökonomie;Arbeit;842;C;;umgesetzt/abgeschlossen;"Sachstand 03/2020: Diese Vision wird voraussichtlich ab dem Jahr 2021 beteiligungsbasiert weiterentwickelt.

Sachstand 04/2021: Der ""nordwärts""-Kuratoriumsvorstand und das ""nordwärts""-Kuratorium haben die nicht begonnenen ""nordwärts""-Teilprojekte priorisiert. Diese Vision soll im Zusammenhang des Projektes Nr. 540 ""Zentrum Ethnische Ökonomie (ZEÖ) mitentwickelt werden.

Sachstand 12/2022: Dieses Projekt soll im Zusammenhang des Projektes Nr. 540 ""Zentrum Ethnische Ökonomie (ZEÖ) mitentwickelt werden.

Sachstand 06/2023: Durchschnittlich jedes dritte Kleinstunternehmen in der nördlichen Hälfte Dortmunds wird von Menschen mit Zuwanderungshintergrund geführt. Sie alle sind Bestandteil des vielfältigen Dortmunder Wirtschaftslebens und wichtiger Teil der Stadtgesellschaft. Mit dem Zentrum für Ethnische Ökonomie (kurz: ZEÖ) stellen wir ein Unterstützungsangebot bereit, das sich an Klein- und Kleinstunternehmen, Gründer*innen- und Unternehmer*innen sowie Schulabgänger*innen und Berufseinsteiger*innen mit Migrationshintergrund richtet.Aktuell werden ca. 480 Gründer*innen vom ZEÖ betreut und erhalten eine niederschwellige, kultursensible Beratungsleistung, um betriebswirtschaftlich und gewerberechtlich im Rahmen der Vorschriften zu agieren. Dieses Projekt gilt als umgesetzt und wird im Projekt Nr. 540 ""Zentrum Ethnische Ökonomie (ZEÖ) weiterverfolgt.";;;;;;;;;;;;;;;;Dortmund
Wir in Borsig-West;IN-NORD;Zivilgesellschaft;Soziale Innovation;957;B (4);;umgesetzt/abgeschlossen;"Durch den Einsatz einer Nachbarschaftskoordinatorion sollen die Nachbarschaftshilfe und das ehrenamtliche Engagement aktiviert werden. Aufgabenfelder: Wünsche und Ideen der Mieter*innen aufnehmen, die Kommunikation der Bewohner*innen untereinander unterstützen, Aktivitäten wie Nachbarschaftsfeste, Hofmärkte, Urban Gardening etc.ins Leben rufen, Fördermittelakquise für die Quartiersarbeit, Projektkoordination und Mitarbeit in der quartiers- und stadtteilbezogenen Netzwerk- und Gremienarbeit.

Sachstand 07/2021: Ein Antrag auf Projektförderung wurde bei nordwärts eingereicht.

Sachstand 08/2022: Das Projekt läuft in Förderung.

Sachstand 06/2023:  Die baulichen Aktivitäten unserer Quartiersentwicklung Borsig West sind in diesem Frühjahr abgeschlossen. Kleinere Restarbeiten stehen noch an, die sind aber zu vernachlässigen. Die nachbarschaftliche Aktivierung und Maßnahmen zur Quartiersarbeit laufen natürlich weiter";Unnaer Straße;12;061;Borsigplatz;060;Borsigplatz;20;Innenstadt-Nord;023;Borsigplatz;023;Borsigplatz;394381.435;5791.619999999;51.5231341255, 7.4775867693;Dortmund
Wohnungssanierung in Neu-Lanstrop;Scharnhorst;Soziales;Wohnen;744;A;;gestartet/läuft;"Aufwertungsmaßnahmen in der Siedlung ""Neu-Lanstrop"": Sanierung von 150 Wohnungen

Sachstand 06/2018: Die WBG Lanstrop wurde im Frühjahr 2018 an die Proprium Fonds und Forte (Frankfurt) verkauft. In einem Gespräch mit der neuen Eigentümerin und der Verwalterfirma wurde dem Amt für Wohnen und Stadterneuerung mitgeteilt, dass ein Teil der Wohnungen bereits saniert wurden. Größenordnungen konnten nicht genannt werden. Laut der neuen Eigentümerin gibt es ein umfassendes Sanierungsprogramm für leer stehende Wohnungen (Elektrik, Bäder, Fußböden, Tapeten, etc.). Aktuell befinden sich 45 WE in Arbeit.

Sachstand 05/2019: Bei einem Ortstermin am 30.04.2019 wurde von der Eigentümerin und der Hausverwaltung mitgeteilt, dass im vergangenen Jahr 175 leere Wohnungen saniert wurden. Aktuell stehen weitere 25 leere Wohnungen zur Sanierung an. Die Wohnungsnachfrage hat sich in der Siedlung Lanstrop inzwischen spürbar verbessert. Die Leerstandsquote konnte innerhalb eines Jahres von 7,3 % auf 4,9 % gesenkt werden. 

Sachstand 03/2020: Kein neuer Sachstand; fortlaufende Sanierung von frei werdenden Wohnungen.

Sachstand 08/2023: Inwischen sind die Objekte im Besitz der Peach Property Group AG. Diese meldete zurück, dass durch sie in 2022 91 Wohneinheiten und in 2023 weitere 53 Wohneinheiten saniert wurden.

Sachstand 03/2025: In 2024 wurden weitere 134 Wohnungseinheiten saniert.";Horstmarer Straße;32;251;Lanstrop-Neu;250;Lanstrop;2;Scharnhorst;052;Husen/Kurl/Lanstrop;;;4544.6699999998;571559.889999999;51.5818649695, 7.56458196485;Dortmund
Zentrum Ethnische Ökonomie (ZEÖ);IN-NORD;Ökonomie;Arbeit;540;A;;gestartet/läuft;"Vorher: Beratungszentrum für die Ethnische Ökonomie der Nordstadt, Coachings, Qualifizierungsberatung, knüpfen von internationalen Geschäftskontakten, Vermietung von Geschäftsräumen, Förderung der Wertschöpfung im Stadtteil
Neu: Pilothafte Weiterqualifizierung des ""nordwärts""-Teilprojektes Nr. 540 „Deutsch-Internationales Wirtschaftszentrum“ zu einem Unterstützungszentrum Ethnische Ökonomie (UZEÖ)

Sachstand 04/2018: BIWAQ III Teilprojekt in der bis 12/18 laufenden Förderperiode. Ab 2019 geplante Finanzierung durch ""nordwärts"" und Einzugsbereichserweiterung.

Sachstand 02/2020: Neuformulierung des Konzepts, Standortsuche, zur Fachkräfte Entwicklung bei Jugendlichen mit Fluchterfahrung wird 2020 das Projekt ""Nordchance"" mit dem Verein ""Train of Hope"" durchgeführt.

Sachstand 05/2020: Vorlage an die politischen Gremien zur pilothaften Weiterqualifizierung des ""nordwärts""-Teilprojektes Nr. 540 „Deutsch-Internationales Wirtschaftszentrum“ zu einem Unterstützungszentrum Ethnische Ökonomie (UZEÖ) in Arbeit.

Sachstand 10/2020: Ratsbeschluss zur pilothaften Weiterqualifizierung des ""nordwärts""-Teilprojektes Nr. 540 „Deutsch-Internationales Wirtschaftszentrum“ zu einem Unterstützungszentrum Ethnische Ökonomie (UZEÖ) liegt vor.

Sachstand 07/2021: Eine Standortverlagerung wird derzeit realisiert. Des Weiteren wird an einem Marketingkonzept gearbeitet. In naher Zukunft werden die ersten Werbekampagnen gestartet.  

Sachstand 06/2022: Das Zentrum für ethnische Ökonomie (ZEÖ) hat am 08.03.2022 die operative Tätigkeit am neuen Standort, Carl-Holtschneider-Str. 14, 44145 Dortmund aufgenommen. Es wurde sehr intensiv an der Ausweitung und Erweiterung der Kooperationsstruktur gearbeitet, sodass zusätzlich zu den bestehenden Kooperationspartner*innen „Unternehmen.Bilden.Vielfalt e.V.“ und „NORDHAND e.G.“ ein weiterer Kooperationspartner „Train of Hope e.V.“ gewonnen werden konnte. Der Beirat des ZEÖ wurde ebenfalls erweitert. Die Geschäftsführerin der Wirtschaftsförderung Dortmund, der Integrationsratsvorsitzende und die Bezirksbürgermeisterin des Stadtbezirks Innenstadt-Nord wurden als Mitglieder in den Beirat eingeladen. Das ZEÖ hat dieses Jahr auf dem Festi Ramazan als Aussteller teilgenommen. In einem dort eingerichteten Beratungsbüro konnten sich Gründer*innen auch türkischsprachig informieren und durch die Teilnahme konnte das ZEÖ in der Öffentlichkeit an Bekanntheit gewinnen. Die Social Media-Profile (Facebook und Instagram) und die Internetseite des ZEÖ sind online. Flyer in deutscher, türkischer, arabischer und englischer Sprache sind vorhanden.

Sachstand 06/2023: Durchschnittlich jedes dritte Kleinstunternehmen in der nördlichen Hälfte Dortmunds wird von Menschen mit Zuwanderungshintergrund geführt. Sie alle sind Bestandteil des vielfältigen Dortmunder Wirtschaftslebens und wichtiger Teil der Stadtgesellschaft.Mit dem Zentrum für Ethnische Ökonomie (kurz: ZEÖ) stellen wir ein Unterstützungsangebot bereit, das sich an Klein- und Kleinstunternehmen, Gründer*innen- und Unternehmer*innen sowie Schulabgänger*innen und Berufseinsteiger*innen mit Migrationshintergrund richtet.Aktuell werden ca. 480 Gründer*innen vom ZEÖ betreut und erhalten eine niederschwellige, kultursensible Beratungsleistung, um betriebswirtschaftlich und gewerberechtlich im Rahmen der Vorschriften zu agieren.";CARL-HOLTSCHNEIDER-STRASSE;14;053;Nordmarkt-West;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;393328.4999999999;579775.39999999;51.5290006426, 7.4622110984;Dortmund
"""Aufbau von nachhaltigen Nachbarschaftsstrukturen/ -zentren""";Stadtbezirksübergreifend/gesamte Gebietskulisse;Zivilgesellschaft;Soziale Innovation;851;C;;gestartet/läuft;"Sachstand 06/2018: Viele Bürgertreffs in der Gebietskulisse von ""nordwärts"" befinden sich in der Planungs,- Umsetzungs- oder Neuorientierungsphase. Da sie häufig mit ähnlichen Herausforderungen konfrontiert sind, fand am 8.5. ein Vernetzungstreffen von acht (potentiellen) Einrichtungen statt. Wichtigstes Ergebnis ist die gemeinsame Entwicklung eines Betreiberkonzepts der Projekte Forsthaus Rahm (Nr. 886), Wohlfahrtsgebäude Nollendorfplatz (Nr. 899) und Haus Wenge (Nr. 902) mit Unterstützung durch eine Unternehmensberatung.

Sachstand 03/2020: Diese Vision wird voraussichtlich ab dem Jahr 2021 beteiligungsbasiert weiterentwickelt.

Sachstand 04/2021: Der ""nordwärts""-Kuratoriumsvorstand und das ""nordwärts""-Kuratorium haben die nicht begonnenen ""nordwärts""-Teilprojekte priorisiert. Diese Vision wird als zentrales Thema gesehen und sollte nicht als einzelnes ""nordwärts""-Teilprojekt betrachtet werden, sondern als Gesamtstrategie für Dortmund. Nachbarschaftszentren sind nicht immer mit einer Immobilie verbunden. Synergien mit bestehenden Institutionen sollen berücksichtigt werden. Die Erfahrungen von ""nordwärts"" zu dieser Thematik sollen auf die Gesamtstadt übertragen werden. Es bestehen inhaltliche Bezüge zum Projekt Nr. 804 ""Vision: Stärkung der Selbstorganisation von Bewohnerinnen und Bewohnern in Quartieren"".

Sachstand 07/2022: Bedingt durch die Corona-Situation und die mangelnden Tagungen des Kuratoriums und des Kuratoriumsvorstandes gab es kaum Beteiligungsmöglichkeiten. Die weitere Umsetzung ab 2023 wird geprüft. 

Sachstand 08/2023: Die ehemalige Vision: ""Häuser und Orte der Begegnung und Unterstützung (interkulturell, barrierefrei, generationsübergreifend) in den Stadtbezirken sichern die Gemeinschaft in den Stadtbezirken."" wird in der Stadtverwaltungsstratgie mit dem Ziel ""Dortmund hat gleiche, gute Lebensverhältnisse"" im strategischen Handlungsfeld ""nordwärts"" als Projekt mitgedacht und umgesetzt.";;;;;;;;;;;;;;;;Dortmund
"""Inside"" - Unionsviertel";IN-WEST;Soziales;Bildung;202;A;;umgesetzt/abgeschlossen;"Sachstand 02/2018: Projekt wird zur Zeit nicht umgesetzt, es wurde nur für die Nordstadt beantragt (siehe Projekt Nr. 199).

Sachstand 03/2019: Das Projekt ist abgeschlossen.";;;;;;;;;;;;;;;;Dortmund
"""Kunst kann mehr - Scharnhorster Kinder bringen Licht ins Dunkel!"" Neugestaltung der Fußgängerunterführung Am Bellwinkelhof";Scharnhorst;Soziales;Infrastrukturen\Soziales;947;B (4);;umgesetzt/abgeschlossen;"Eine Grafik-Designer*in und/oder Künstler*in erarbeitet gemeinsam mit Kindern und Jugendlichen gestalterische Ideen für den Ein- und Ausgang des Tunnels.Danach wird die Unterführung durch den/die Designer*in und den/die unterstützenden Künstler*innen nach den Entwürfen der Kinder gestaltet. Am Ende gibt es eine große Präsentation im Tunnel mit allen beteiligten Gruppen, Politik und Verwaltung. Pressearbeit begleitet das Projekt.

Sachstand 07/2021: Das Projekt ist zur Zeit im laufenden Betrieb. Die Künstlerin Astrid Halfmann hat bisher mit unterschiedlichen Jugendgruppen und einzelnen Kindern aus Scharnhorst die Stirnseite des Tunnels (vom Bellwinkelhof aus) gestaltet und fertiggestellt. Die gegenüberliegende Eingangsseite des Tunnels ist noch nicht volltständig beendet, aber fast fertig. Aktuell wird auch schon der Innenraum des Tunnels mit Jugendgruppen gestaltet.

Sachstand 08/2022: Das Projekt ist abgeschlossen. Es sind jährlich bis zum Jahr 2025 Ausbesserungsarbeiten geplant. Auch in diesem Jahr müssen wir Ausbesserungsarbeiten durchführen, die bis zum Ende des Sommers 2022 abgeschlossen sein werden.";Am Bellwinkelhof;2;262;Alt-Scharnhorst;260;Alt-Scharnhorst;2;Scharnhorst;053;Alt-Scharnhorst;;;397558.4799999994;5711663.79999996;51.5467525041, 7.52261934144;Dortmund
"""Sicher und sauber umme Ecke""";Stadtbezirksübergreifend/gesamte Gebietskulisse;Zivilgesellschaft;Sicherheit Ordnung und Sauberkeit;852;C;;gestartet/läuft;"Sachstand 06/2018: Diese Vision wird im Projekt Nr. 926 ""Aufwertung der oberen/südlichen Münsterstraße"" beispielhaft realisiert.

Sachstand 03/2020: Diese Vision wird voraussichtlich ab dem Jahr 2021 beteiligungsbasiert weiterentwickelt.

Sachstand 07/2022: Bedingt durch die Corona-Situation und die mangelnden Tagungen des Kuratoriums und des Kuratoriumsvorstandes gab es kaum Beteiligungsmöglichkeiten. Die weitere Umsetzung ab 2023 wird geprüft.

Sachstand 08/2023: Unter dem Ziel der Stadtverwaltungsstrategie ""Dortmund vertraut sich"" gibt es das strategische Handlungsfeld Sicherheit & Sauberkeit mit dem strategischen Projekt ""Sicher und sauber umme Ecke"". In diesem Projekt wird die ehemalige ""nordwärts"" Vision (Angsträume (ÖPNV, Plätze, Orte) sind beseitigt, Beleuchtungskonzepte erhöhen das Sicherheitsgefühl) mitgedacht und umgesetzt. 

Sachstand 03/2025: Neben vielen Netzwerk- und Kooperationsgesprächen und Treffen ist die aktive Teilnahme am Forschungsprojekt des LKA zum Thema ""Städtebauliche Prävention"" am Beispiel des Hörder BF beendet. Die Dortmunder Arbeitsgruppe hat aber weiter Bestand. Zudem wird es im Mai 2025 einen gemeinsamen Workshop mit der EDG zur Stadtbildpflege geben. Weitere Projektstränge befassen sich mit den Themen ""alternative Müllkonzepte"", ""Ratten-Bekämpfung"", ""Graffiti"" und ""Sensibilisierung & Prävention"".";;;;;;;;;;;;;;;;Dortmund
Adelssitze und Wohlfahrtsgebäude – Die „Nordwärts-Schlösser-Route“ (NSR);Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökologie;Infrastrukturen\Sport+Freizeit;735;B;;umgesetzt/abgeschlossen;"Entstehen soll eine Schlösserroute, mit einzelnen Anlaufstationen, die über Fuß- und Radwege miteinander verbunden werden - bei optimierter Zugänglichkeit der Objekte.

Sachstand 06/2018: ""nordwärts"" koordiniert die Erarbeitung eines übergreifenden Konzeptes für Landschaftspfade/Erlebnisrouten im gesamten ""nordwärts""-Gebiet. Dabei wird geprüft, inwiefern dieses Projekt in das Gesamtkonzept eingebunden werden kann. 
Geplant ist gemeinsam mit den Bezirksbürgermeistern unter Akteurs- und Bürgerbeteiligung eine gemeinsame ""nordwärts""-Route zu entwickeln. Ergebnis könnte dabei die Entwicklung einer APP sein, in der die Freizeitkarte der Stadt Dortmund digital eingepflegt wird. Aktuell wird ein Routenheft erarbeitet. Im Herbst startet ein einjähriges Forschungsprojekt mit der TU Dortmund zur Entwicklung der Erlebnisrouten/Landschaftspfade. 

Sachstand 03/2019: Aktuell befindet sich ein Routenheft in der Erstellungs- und anschließenden Druckphase. Parallel wird in Kooperation mit der FH Dortmund und in Abstimmung mit dem Chief Information/Innovation Office der Stadt Dortmund an der Entwicklung einer APP für die Erlebnisrouten gearbeitet. Im Rahmen der Sommerakademie, die durch Studenten der TU Dortmund geplant und durchgeführt wird, werden die Ergebnisse eines einjährigen Forschungsprojektes einem breiten Publikum vorgestellt. Diese Ergebnisse werden in die weiteren Planungen der Akteurs- und Bürgerbeteiligung einfließen. Darüberhinaus gibt es Überlegungen für einen Abstimmungstermin zur infrastrukturellen Umsetzung gemeinsam mit dem Stadtplanungs- und Bauordnungsamt.

Sachstand 02/2020: Das Projekt wurde über die Erstellung eines Erlebnisroutenheftes umgesetzt und wird fortlaufend weiterentwickelt. Mögliche infrastrukturelle Maßnahmen finden sich in Abstimmung mit der Fachverwaltung.

Sachstand 01/2021: Das Projekt 735 wird in das Projekt 736 (Vernetzte Erlebnisrouten) integriert und fortlaufend weiterentwickelt. Die „Nordwärts-Schlösser-Route“ (NSR)wurde somit durch die Schlösserroute (4A) und die Ökologie-Route (1A) im Erlebnisroutenheft umgesetzt.";;;;;;;;;;;;;;;;Dortmund
Aquaponik-Projekt mit Bürgerinnen/Bürgern in der Nordstadt;IN-NORD;Zivilgesellschaft;Integration und Teilhabe;894;B (2);;umgesetzt/abgeschlossen;"Im Rahmen des Projektes soll in der Dortmunder Nordstadt ein Aquaponiksystem entstehen, das Elemente von Bürgerbeteiligung, Bildungsarbeit und integrierter Stadtteilentwicklung miteinander kombiniert.

Sachstand 03/2018: Das Projekt wird aufrecht erhalten, EU-Fördermittel konnten eingeworben werden. Das Projekt wird innerhalb eines EU-Projektes umgesetzt.";Rheinische Straße;137;023;Union;020;Dorstfelder Brücke;10;Innenstadt-West;013;Dorstfelder Brücke;013;Dorstfelder Brücke;391616.87999999983;577994.149999999;51.5126649977, 7.43809385473;Dortmund
Attraktivitätssteigerung der öffentlichen Plätze;Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökonomie;Stadtentwicklung;864;B;;gestartet/läuft;"Städtebauliche Untersuchung ausgewählter Plätze in der Gebietskulisse durchgeführt

Sachstand 01/2018: Von momentan 26 untersuchten Plätzen in der Gebietskulisse, wird derzeit für 7 Plätze ein Konzept erarbeitet teilw. im Rahmen parallel aufgeführter Projektnummern (z.B. Nr. 495 Nordfläche HBF). Wettbewerb Platz ""alte Evinger Mitte"" ist in Vorbereitung. 

Sachstand 04/2019: Untersuchung der Plätze (insg. 27) abgeschlossen. Ein Teil der Plätze läuft unter eigener Projektnummer (z. B. Nordplatz HBF, Nr. 495). Schwerpunkt Bearbeitung drüber hinaus: Realisierung Wettbewerbsergebnis ehem. Marktplatz in Eving, Umsetzung beinhaltet die Platz- und Grüngestaltung sowie eine ""Quartiershalle"".

Sachstand 02/2020: Teilprojekt ehem. Marktplatz in Eving (Ev-Ev-Nord): Gelder zur Realisierung wurden im Haushalt ""nordwärts"" eingestellt. Vertragsverhandlungen mit dem Landschaftsplanungsbüro Fischer, Soligen, sind gestartet. Danach erfolgt die Qualifizierung des Wettbewerbsentwurfes und die Ausschreibung. Zeitpunkt der Realisierung ist ab 2021 geplant, ist aber abhänging von der Verlegung des städtischen Kanals. 

Sachstand 06/2021: Durch einen Wechsel der Zuständigkeiten für dieses Projekt verschiebt sich der Beginn.

Sachstand 05/2022: Der Evinger Marktplatz wurde im Rahmen des ""nordwärts""-Teilprojektes ""Attraktivitätssteigerung öffentlicher Plätze"" als Potenzialfläche für eine bauliche Entwicklung identifiziert. Auf dieser Grundlage wurde ein städtebaulicher und freiraumplanerischer Realisierungswettbewerb mit drei Gewinnerentwürfen in 2018 durchgeführt. Das Projekt wird priorisiert bearbeitet (siehe Drucksache Nr.: 23829-22-E1):
· Vergabe Planungsleistungen: ab 2. Quartal 2022 durch das Tiefbauamt
· Beauftragung Ingenieurbüro: Ende 3. Quartal 2022 
· Planungsdauer: Ca. 1 Jahr
· In Oktobersitzung 2023: Baubeschluss 
· Anschließende Vergabe der Bauleistungen: 4-5 Monate
· Baubeginn: ab Mai 2024 
· Bauzeit: ca. 1 Jahr

Sachstand 07/2022: Das Hauptprojekt, zur Umsetzung Wettbewerb ehemaliger Marktplatz in Eving, wurde vom Stadtplanungs- und Bauordnungsamt an das Tiefbauamt abgegeben. Weitere Plätze sind über andere Maßnahmen (z. B. B-Pläne oder Plätzeprogramm des Dezernats für Recht, Ordnung, Bürgerdienste und Feuerwehr) abgedeckt.

Sachstand 03/2025: Aktiv verfolgt wird die Neugestaltung der Plätze Bayrische Str./Deutsche Str. Durch FB 63: Die Vergabe der Planung (Lph 1-5) soll durch FB19 ausgeschrieben werden (am 26.02.2025 in Vergabedatenbank eingestellt). Prüfbemerkungen seitens des RPA wurden beantwortet.";Bayrische Straße;214;123;Obereving;120;Eving;1;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen;39539.5199999999;571229.79999999;51.5512474718, 7.49003501749;Dortmund
Aufwertung der oberen/südlichen Münsterstraße;IN-NORD;Ökonomie;Sicherheit Ordnung und Sauberkeit;926;B (3);;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"In Absprachen zwischen Bürgern/innen, Politik, Verwaltung, der IG der Gewerbetreibenden, der Immobilienbesitzer und der Ordnungskräfte sollen Maßnahmen der Aufwertung der oberen/südlichen Münsterstraße vereinbart werden.

Sachstand 04/2018: Die Polizei wurde als Projektpartner gewonnen. In Abstimmung mit dem Tiefbauamt und der DEW21 wird ein Austausch der Straßenbeleuchtung vorbereitet. Ein städtebaulicher Wettbewerb ist in Planung.

Sachstand 04/2019: Ein weiterer Workshop ist angestrebt und befindet sich in Planung. Hierzu sollen verschiedene Akteure eingeladen werden (z. B. Interessengemeinschaft Münsterstraße, Bürgerschaft, Politik etc.). Die Koordinierungsstelle ""nordwärts"" hat das Dialogverfahren in der Fachverwaltung aufgenommen. Die Rahmenbedingungen für die Aufstellung eines freiraumplanerischen, städtebaulichen Wettbewerbs werden derzeit geprüft. Die Verknüpfungen zum Masterplan Kommunale Sicherheit und zur Allianz Smart City Dortmund werden mitgedacht. Der ""nordwärts""-Kuratoriumsvorstand begleitet das Projekt aktiv und begrüßt einen baldigen Start.

Sachstand 05/2020: Aktuell beabsichtigt die Koordinierungsstelle ""nordwärts"" ein Werkstattverfahren zur Aufwertung der Münsterstraße durchzuführen. Dieses wird auch in Kooperation mit dem Stadtplanungs- und Bauordnungsamt und dem Grünflächenamt durchgeführt. Momentan befindet sich das Verfahren in der Vorbereitung.

Sachstand 04/2021: Das kooperative Werkstattverfahren ist im Februar gestartet. Drei Landschaftsarchitekturbüros erarbeiten freiraumplanerische Konzepte für die Münsterstraße und stellen ihre Entwurfsideen online der Öffentlichkeit vor. Zwei Wochen lang haben die Bürger*innen die Möglichkeit ihre Anregungen, Ideen und Wünsche etc. zu den präsentierten Ideen auf einer Online-Beteiligungsplattform zu äußern. Die zweite Bearbeitungsphase soll im August mit einem öffentlichen Abschlussforum enden.

Sachstand 02/2022: Im vergangenen Sommer wurde mit dem Werkstattverfahren Münsterstraße ein freiraumplanerisches Dialogverfahren zur Zukunft der Münsterstraße durchgeführt. Unter Einbezug der Politik, den Bürger*innen und den Akteur*innen vor Ort erarbeiteten drei Teams unterschiedliche Lösungsansätze für eine zukunftsorientierte Umgestaltung der beliebten Einkaufsstraße. Im Ergebnis konnte durch einen breiten Beteiligungsprozess der Siegerentwurf und damit ein Zukunftsbild für die sukzessive Umgestaltung der Münsterstraße gefunden werden. Das Büro CLUB L94 aus Köln konnte mit seinem Entwurf die Bürger*innen und die Jury überzeugen.

Die Entwürfe aus dem Werkstattverfahren verstehen sich als Ideen fur die perspektivische Entwicklung der Munsterstraße und dienen im Verfahren als Grundlage fur weitere Planungen. So werden die Ergebnisse als Vorlage für weitere Prozesse, wie z. B. die Neuaufstellung des Integrierten Handlungskonzeptes (InHK) Nordstadt bis 2023, genutzt. Kurzfristige Maßnahmen sollen im Sinne einer Umsetzung in kleinen Schritten schon in den nächsten Jahren realisiert werden können. Der Umbau der Munsterstraße zu einem klimaresilienten Stadtraum mit hoher Aufenthaltsqualität fur die Nutzenden könnte zu einem Vorreiter fur die Entwicklung zukunftsfähiger Stadträume in Dortmund werden.

Die Fachverwaltung plant eine modulare Vorgehensweise mit teilweise kurzfristigen Umsetzungsmöglichkeiten:

Grünflächenamt: 
- Sofortmaßnahmen Pflanzkübel
- Kübelerde austauschen
- In Abstimmung mit Quartiersmanagement Nordstadt: eventuell temporäre Aktionen auf Mehmet-Kubasik-Platz

Amt für Stadterneuerung:
- Aufnahme des Projektes „Münsterstraße“ in das neue InHK bzw. Stadterneuerungsprogramm Nordstadt
- Für die Projektqualifizierung und ggf. bauliche Umsetzung können Städtebauförderungsmittel beantragt werden

Stadtplanungsamt:
- Verkehrsgutachten und Verkehrsaufkommen sollen betrachtet werden
- Parkraumbeobachtung (Frequentierung der öffentlichen Stellplätze)
- Temporäre Stadtmöblierung als Idee

Sachstand 04/2025: Das beteiligungsorientierte Werkstattverfahren über ""nordwärts"" ist mittlerweile abgeschlossen und das Amt für Stadterneuerung hat nun die Projektleitung inne. Aktuell läuft die Qualifizierungsphase.";Münsterstraße;69;051;Nordmarkt-Süd;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;393445.57999999996;57997.59999999;51.5229263308, 7.46410345498;Dortmund
