GENESIS-Tabelle: 31111-03-02-5-B
Genehmigungen für Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume  - Jahressumme - regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
Jahr: 2008;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
13054123;Zülow;-;0;0;0;0
13054124;Wittendörp;7;0;2;0;5
13054125;Grebs-Niendorf;-;0;0;0;0
13054126;Lüttow-Valluhn;2;0;1;0;1
13054127;Bengerstorf;1;0;0;0;1
13055002;Beseritz;-;0;0;0;0
13055003;Blankenhof;3;0;-1;0;4
13055004;Blankensee;6;0;2;2;2
13055005;Blumenholz;7;2;3;1;1
13055008;Brunn;1;0;0;0;1
13055009;Burg Stargard, Stadt;11;0;1;4;6
13055010;Cammin;1;0;0;0;1
13055011;Carpin;-;0;0;0;0
13055012;Cölpin;-;0;0;0;0
13055020;Friedland, Stadt;31;0;26;2;3
13055021;Genzkow;1;0;0;1;0
13055022;Glienke;-;0;0;0;0
13055023;Godendorf;1;0;0;0;1
13055028;Groß Nemerow;2;0;0;1;1
13055029;Grünow;-;0;0;0;0
13055032;Hohenzieritz;-;0;0;0;0
13055033;Holldorf;5;0;0;3;2
13055035;Klein Vielen;-;0;0;0;0
13055037;Kratzeburg;5;0;0;2;3
13055039;Kublank;-;0;0;0;0
13055043;Mildenitz;-;0;0;0;0
13055044;Mirow, Stadt;6;0;0;3;3
13055045;Möllenbeck;1;0;0;1;0
13055046;Neddemin;-;-1;1;0;0
13055047;Neetzka;1;0;0;0;1
13055049;Neuenkirchen;3;0;-1;3;1
13055050;Neustrelitz, Stadt;44;12;39;-5;-2
13055051;Neverin;2;0;0;0;2
13055053;Petersdorf;-;0;0;0;0
13055054;Pragsdorf;1;0;0;1;0
13055055;Priepert;1;0;0;0;1
13055058;Roggentin;-;0;0;0;0
13055061;Schönbeck;1;0;0;0;1
13055062;Schönhausen;1;0;1;0;0
13055066;Staven;1;0;0;0;1
13055068;Teschendorf;-;0;0;0;0
13055069;Trollenhagen;-;0;0;0;0
13055070;Userin;1;0;0;0;1
13055071;Voigtsdorf;-;0;0;0;0
13055074;Wesenberg,Stadt;20;1;-1;5;15
13055076;Woggersin;1;0;0;0;1
13055078;Woldegk, Stadt;-;0;0;0;0
13055079;Wulkenzin;4;-1;1;1;3
13055080;Wustrow;5;0;4;0;1
13055081;Zirzow;1;0;0;0;1
13055082;Feldberger Seenlandschaft;16;1;2;4;9
13055083;Groß Miltzow;2;0;0;0;2
13055084;Helpt;-;0;0;0;0
13055085;Eichhorst;-;0;0;0;0
13055086;Wokuhl-Dabelow;2;0;0;2;0
13055087;Lindetal;1;0;0;0;1
13055088;Datzetal;1;0;0;0;1
13055089;Galenbeck;-;0;0;0;0
13055090;Sponholz;1;0;0;1;0
13056004;Alt Schwerin;2;0;0;0;2
13056005;Altenhof;1;0;0;1;0
13056006;Ankershagen;-;0;0;0;0
13056007;Bollewick;2;0;1;0;1
13056008;Buchholz;2;0;1;0;1
13056009;Bütow;-;0;0;0;0
13056010;Fincken;1;0;1;-1;1
13056011;Göhren-Lebbin;18;0;3;7;8
13056012;Gotthun;12;5;4;2;1
13056013;Grabow-Below;-;0;0;0;0
13056014;Grabowhöfe;2;0;1;0;1
13056015;Groß Dratow;2;1;0;0;1
13056016;Groß Flotow;-;0;0;-1;1
13056017;Groß Gievitz;-;0;0;0;0
13056018;Groß Kelle;-;0;0;0;0
13056019;Groß Plasten;2;0;1;-1;2
13056020;Groß Vielen;2;2;0;0;0
13056022;Hinrichshagen;-;0;0;0;0
13056023;Hohen Wangelin;2;0;3;-2;1
13056024;Jabel;7;1;-1;5;2
13056025;Jaebetz;3;1;2;0;0
13056026;Kambs;-;0;0;0;0
13056027;Kargow;4;2;0;2;0
13056028;Kieve;-;0;0;0;0
13056029;Klein Lukow;1;0;0;0;1
13056030;Klink;7;2;0;2;3
13056031;Klocksin;-;0;0;0;0
13056033;Krukow;-;0;0;0;0
13056035;Lapitz;-;0;0;0;0
13056036;Lärz;1;0;0;0;1
13056037;Leizen;3;0;1;2;0
13056039;Ludorf;8;2;5;0;1
13056041;Malchow, Stadt;-8;-3;-3;-6;4
13056042;Mallin;1;0;0;1;0
13056043;Marihn;-;0;0;0;0
13056044;Massow;-;0;0;0;0
13056045;Melz;-;0;0;0;0
13056047;Möllenhagen;1;0;0;1;0
13056048;Mollenstorf;2;1;0;1;0
13056049;Moltzow;-;0;0;0;0
13056050;Neu Gaarz;-;0;0;0;0
13056051;Nossentiner Hütte;13;8;3;0;2
13056052;Penkow;-;0;0;0;0
13056053;Penzlin, Stadt;17;4;5;1;7
13056054;Priborn;-;0;0;-1;1
13056055;Puchow;-;0;0;0;0
13056056;Rechlin;1;0;0;0;1
13056057;Röbel/Müritz, Stadt;11;0;4;0;7
13056060;Schloen;-;0;0;0;0
13056061;Schwarz;-;0;-2;1;1
13056062;Schwinkendorf;7;0;0;6;1
13056063;Sietow;6;3;1;0;2
13056064;Silz;7;0;2;2;3
13056065;Stuer;9;8;0;1;0
13056066;Torgelow am See;2;0;0;1;1
13056067;Varchentin;1;0;0;0;1
13056068;Vielist;5;2;0;1;2
13056069;Vipperow;2;0;0;2;0
13056070;Vollrathsruhe;1;0;0;1;0
13056071;Walow;2;0;1;1;0
13056072;Waren (Müritz), Stadt;76;9;31;7;29
13056073;Wredenhagen;2;0;1;1;0
13056074;Zepkow;-;0;0;0;0
13056075;Zislow;3;-3;0;5;1
13056076;Fünfseen;6;-2;1;1;6
13056077;Lansen-Schönau;-;0;0;0;0
13057002;Ahrenshoop;6;-2;3;1;4
13057005;Altenpleen;2;0;0;1;1
13057006;Bad Sülze, Stadt;10;0;3;7;0
13057008;Bartelshagen II b. Barth;1;0;0;0;1
13057009;Barth, Stadt;13;1;2;5;5
13057011;Behnkendorf;1;0;0;1;0
13057013;Born a. Darß;5;0;2;3;0
13057014;Brandshagen;2;0;0;0;2
13057020;Dettmannsdorf;5;0;0;2;3
13057021;Deyelsdorf;-;0;0;0;0
13057022;Dierhagen;9;1;2;0;6
13057024;Drechow;-;0;0;0;0
13057026;Eixen;-;0;-1;0;1
13057027;Elmenhorst;1;0;0;1;0
13057028;Franzburg, Stadt;-;0;-1;1;0
13057029;Fuhlendorf;7;0;5;2;0
13057030;Glewitz;2;0;0;1;1
13057031;Grammendorf;2;-1;1;0;2
13057032;Gransebieth;-;0;0;0;0
13057036;Grimmen, Stadt;31;2;15;7;7
13057037;Groß Kordshagen;-;0;0;0;0
13057038;Groß Mohrdorf;-7;-2;-1;-5;1
13057039;Horst;-;0;0;0;0
13057040;Hugoldsdorf;-;0;-1;0;1
13057041;Jakobsdorf;3;0;0;0;3
13057043;Karnin;-;0;0;0;0
13057046;Kirchdorf;1;0;1;0;0
13057047;Klausdorf;1;-1;1;1;0
13057049;Kramerhof;6;0;0;0;6
13057051;Kummerow;1;0;0;1;0
13057054;Löbnitz;-;0;0;0;0
13057055;Lüdershagen;-;0;0;0;0
13057056;Lüssow;2;0;0;0;2
13057057;Marlow, Stadt;6;0;0;0;6
13057059;Miltzow;1;0;0;1;0
13057060;Neu Bartelshagen;2;0;2;-1;1
13057062;Niepars;11;2;1;2;6
13057064;Pantelitz;4;0;0;0;4
13057065;Papenhagen;-;0;0;0;0
13057067;Preetz;2;0;0;-2;4
13057068;Prerow;17;2;1;2;12
13057069;Prohn;7;0;0;0;7
13057070;Pruchten;8;0;1;2;5
13057073;Reinberg;-;0;-5;2;3
13057074;Ribnitz-Damgarten, Stadt;21;0;2;3;16
13057075;Richtenberg, Stadt;-;0;0;-1;1
13057076;Saal;1;0;0;1;0
13057077;Schlemmin;-;0;0;0;0
13057079;Semlow;-;0;0;0;0
13057081;Splietsdorf;-;0;0;0;0
13057083;Steinhagen;13;1;1;4;7
13057085;Tribsees, Stadt;8;0;3;3;2
13057086;Trinwillershagen;-;0;0;0;0
13057087;Velgast;4;0;1;-1;4
13057088;Weitenhagen;-;0;0;-1;1
13057089;Wendisch Baggendorf;4;0;0;1;3
13057090;Wendorf;1;0;0;0;1
13057091;Wieck a. Darß;13;1;3;1;8
13057092;Wilmshagen;-;0;0;0;0
13057093;Wittenhagen;-;0;0;0;0
13057094;Wustrow;5;4;1;0;0
13057095;Zarrendorf;2;0;1;0;1
13057096;Zingst;84;29;29;12;14
13057097;Süderholz;10;1;0;2;7
13057098;Divitz-Spoldershagen;1;0;0;0;1
13057099;Gremersdorf-Buchholz;-;0;0;0;0
13057100;Millienhagen-Oebelitz;-;0;0;0;0
13057101;Kenz-Küstrow;4;0;0;3;1
13057102;Ahrenshagen-Daskow;2;0;0;0;2
13057103;Lindholz;-;0;0;0;0
13057104;Sundhagen;-;-;-;-;-
13058001;Alt Meteln;-;0;0;0;0
13058003;Bad Kleinen;8;1;0;4;3
13058004;Badow;-;0;0;0;0
13058005;Barnekow;-;0;-1;1;0
13058007;Benz;-;0;0;0;0
13058008;Bernstorf;2;0;0;1;1
13058009;Bibow;1;0;0;0;1
13058010;Blowatz;3;0;0;-1;4
13058012;Boiensdorf;3;0;0;1;2
13058014;Boltenhagen;32;4;9;6;13
13058015;Börzow;1;0;0;0;1
13058016;Brüsewitz;5;1;0;0;4
13058018;Carlow;-;0;0;0;0
13058019;Cramonshagen;-;0;0;0;0
13058020;Dalberg-Wendelstorf;1;0;0;0;1
13058021;Damshagen;-;0;0;0;0
13058022;Dassow, Stadt;25;2;2;2;19
13058023;Dechow;-;0;0;0;0
13058025;Dorf Mecklenburg;5;0;0;1;4
13058026;Dragun;-;0;0;0;0
13058028;Gadebusch, Stadt;4;0;-1;1;4
13058029;Gägelow;6;0;0;2;4
13058030;Glasin;-;0;0;0;0
13058031;Gottesgabe;-;0;0;0;0
13058032;Grambow;-;0;0;0;0
13058034;Grevesmühlen, Stadt;24;2;11;1;10
13058035;Grieben;-;0;0;0;0
13058038;Groß Molzahn;1;0;0;0;1
13058041;Groß Siemz;-;0;0;0;0
13058042;Groß Stieten;-;0;0;0;0
13058045;Hanshagen;1;0;0;0;1
13058047;Hohen Viecheln;1;0;0;0;1
13058048;Holdorf;-;0;0;0;0
13058049;Hornstorf;4;0;0;0;4
13058050;Insel Poel;41;-1;11;15;16
13058051;Jesendorf;-;1;0;-2;1
13058053;Klein Trebbow;3;0;0;1;2
13058054;Klütz, Stadt;13;4;1;1;7
13058055;Kneese;-;0;0;0;0
13058056;Köchelstorf;-;0;0;0;0
13058058;Krembz;-;0;0;0;0
13058059;Krusenhagen;2;0;0;1;1
13058060;Lockwisch;2;0;0;0;2
13058062;Lübberstorf;-;0;0;0;0
13058063;Lübow;2;0;0;1;1
13058064;Lübstorf;-;-1;0;1;0
13058065;Lüdersdorf;16;-1;2;6;9
13058066;Lützow;3;0;1;1;1
13058067;Mallentin;1;0;0;0;1
13058068;Menzendorf;-;0;0;0;0
13058069;Metelsdorf;4;0;0;0;4
13058071;Mühlen Eichsen;1;0;0;0;1
13058072;Nesow;-;0;0;0;0
13058073;Neuburg;3;1;0;2;0
13058074;Neukloster, Stadt;6;0;0;1;5
13058075;Niendorf;-;0;0;0;0
13058076;Papenhusen;1;0;0;0;1
13058078;Passee;-;0;0;0;0
13058079;Perlin;1;0;0;0;1
13058080;Pingelshagen;-;0;0;0;0
13058081;Plüschow;1;0;0;0;1
13058082;Pokrent;1;0;0;2;-1
13058084;Rehna, Stadt;7;0;0;2;5
13058085;Renzow;1;0;0;0;1
13058086;Rieps;1;0;0;0;1
13058087;Roduchelstorf;-;0;0;0;0
13058088;Roggendorf;2;0;0;1;1
13058089;Roggenstorf;1;0;0;0;1
13058090;Rögnitz;-;0;0;0;0
13058091;Rüting;-;0;0;0;0
13058092;Schimm;-;0;0;0;0
13058093;Schlagsdorf;-;0;0;0;0
13058094;Schönberg, Stadt;2;0;0;0;2
13058095;Seehof;1;0;0;0;1
13058096;Selmsdorf;12;1;1;2;8
13058098;Testorf-Steinfort;2;0;0;2;0
13058099;Thandorf;-;0;0;0;0
13058100;Upahl;5;0;0;1;4
13058101;Utecht;1;0;0;0;1
13058102;Veelböken;-;0;0;0;0
13058103;Ventschow;-;0;0;0;0
13058104;Vitense;1;0;0;0;1
13058105;Warin, Stadt;5;0;0;1;4
13058106;Warnow;2;0;0;2;0
13058107;Wedendorf;-;0;0;0;0
13058108;Zickhusen;1;0;0;0;1
13058109;Zierow;3;-1;-2;3;3
13058110;Zurow;2;-1;0;0;3
13058111;Züsow;-;0;0;0;0
13058112;Moor-Rolofshagen;-;0;0;0;0
13058113;Kalkhorst;11;0;0;4;7
13058114;Bobitz;16;7;2;3;4
13058115;Königsfeld;2;0;1;0;1
13058116;Hohenkirchen;1;0;0;0;1
13058117;Schildetal;-;-;-;-;-
13058118;Damshagen;-;-;-;-;-
13059002;Anklam, Stadt;16;3;4;5;4
13059003;Bandelin;-;0;0;0;0
13059005;Bargischow;-;0;0;0;0
13059006;Behrenhoff;3;0;0;1;2
13059007;Benz;33;1;12;8;12
13059008;Blesewitz;-;0;0;0;0
13059009;Boldekow;-;0;0;0;0
13059011;Brünzow;8;0;1;1;6
13059012;Buddenhagen;-;0;0;0;0
13059013;Bugewitz;-;0;0;0;0
13059014;Buggenhagen;-;0;0;0;0
13059015;Butzow;2;0;0;1;1
13059016;Dargelin;-;0;0;0;0
13059017;Dargen;3;1;0;-1;3
13059018;Dersekow;-;0;0;0;0
13059019;Diedrichshagen;5;0;0;4;1
13059020;Drewelow;-;0;0;0;0
13059021;Ducherow;3;1;2;0;0
13059022;Garz;2;0;0;0;2
13059023;Gribow;-;0;0;0;0
13059025;Groß Kiesow;2;0;0;0;2
13059027;Groß Polzin;1;0;0;0;1
13059028;Gützkow, Stadt;3;0;1;0;2
13059029;Hanshagen;2;0;0;0;2
13059031;Hinrichshagen;5;0;0;1;4
13059032;Hohendorf;2;0;0;0;2
13059033;Iven;-;0;0;0;0
13059034;Japenzin;1;0;0;1;0
13059036;Kamminke;2;0;0;0;2
13059037;Karlsburg;-;0;0;0;0
13059038;Karlshagen;27;5;10;5;7
13059039;Katzow;1;0;0;0;1
13059040;Kemnitz;-;0;0;0;0
13059041;Klein Bünzow;1;0;0;1;0
13059042;Kölzin;1;0;0;0;1
13059043;Korswandt;-;0;0;0;0
13059044;Koserow;26;0;5;8;13
13059045;Krien;-;0;0;0;0
13059046;Kröslin;11;1;1;4;5
13059047;Krummin;2;0;2;0;0
13059048;Krusenfelde;-;0;0;0;0
13059049;Lassan, Stadt;-;0;0;0;0
13059050;Levenhagen;2;1;0;0;1
13059051;Liepen;-;0;0;0;0
13059052;Loddin;13;1;1;4;7
13059053;Loissin;4;-1;0;4;1
13059054;Löwitz;-;0;0;0;0
13059055;Lubmin;17;1;2;5;9
13059057;Lühmannsdorf;2;0;0;0;2
13059058;Lüssow;1;0;0;1;0
13059059;Lütow;1;2;2;-2;-1
13059060;Medow;-;0;0;0;0
13059062;Mesekenhagen;2;0;0;0;2
13059063;Mölschow;6;1;0;2;3
13059065;Murchin;-;0;-1;1;0
13059066;Neetzow;-;0;0;0;0
13059069;Neu Boltenhagen;1;1;0;0;0
13059070;Neu Kosenow;-;0;0;0;0
13059071;Neuendorf A;1;0;0;1;0
13059072;Neuendorf B;-;0;0;0;0
13059073;Neuenkirchen;1;0;1;0;0
13059074;Neuenkirchen;16;0;0;6;10
13059075;Peenemünde;26;0;7;19;0
13059076;Pelsin;-;0;0;0;0
13059077;Postlow;-;0;0;0;0
13059078;Pudagla;-;0;0;0;0
13059079;Pulow;-;0;0;0;0
13059080;Putzar;-;0;0;0;0
13059081;Rankwitz;9;2;0;3;4
13059083;Rathebur;-;0;0;0;0
13059084;Rossin;-;0;0;0;0
13059085;Rubenow;-;0;0;0;0
13059086;Rubkow;-;0;0;0;0
13059087;Sarnow;-;0;0;0;0
13059088;Sauzin;3;1;0;0;2
13059089;Schmatzin;-;0;0;0;0
13059091;Spantekow;-;0;0;0;0
13059093;Stolpe;3;0;1;0;2
13059094;Stolpe auf Usedom;-;0;0;0;0
13059095;Trassenheide;25;0;3;10;12
13059096;Ückeritz;14;0;4;5;5
13059097;Usedom, Stadt;12;0;3;5;4
13059098;Wackerow;3;0;1;1;1
13059099;Weitenhagen;1;0;0;0;1
13059100;Wietstock;-;0;0;0;0
13059101;Wolgast, Stadt;22;1;0;7;14
13059102;Wrangelsburg;-;0;-1;0;1
13059103;Wusterhusen;1;0;0;0;1
13059104;Zemitz;-;0;0;0;0
13059105;Zempin;13;2;0;3;8
13059106;Ziethen;1;0;0;0;1
13059107;Zinnowitz;105;14;43;28;20
13059109;Zirchow;-;0;0;0;0
13059110;Züssow;-;0;0;0;0
13059111;Mellenthin;1;0;0;1;0
13059112;Heringsdorf;69;3;23;15;28
13060001;Banzkow;7;4;0;1;2
13060003;Barnin;1;0;0;0;1
13060004;Blankenberg;1;1;0;0;0
13060005;Borkow;1;0;0;1;0
13060006;Broock;-;0;0;0;0
13060007;Brüel, Stadt;2;0;0;0;2
13060008;Bülow;-;0;0;0;0
13060009;Cambs;-;0;0;0;0
13060010;Crivitz, Stadt;4;1;0;-1;4
13060011;Dabel;1;0;0;1;0
13060012;Damm;-;0;0;0;0
13060013;Demen;-;0;0;0;0
13060014;Diestelow;-;0;0;0;0
13060015;Dobbertin;1;0;0;0;1
13060016;Domsühl;-;0;0;0;0
13060017;Friedrichsruhe;-;0;0;0;0
13060020;Ganzlin;-;0;0;0;0
13060021;Gischow;1;0;0;1;0
13060022;Gneven;1;0;0;1;0
13060024;Godern;1;0;0;0;1
13060025;Göhren;-;0;0;0;0
13060026;Goldberg, Stadt;-;0;0;0;0
13060027;Goldenstädt;-;0;0;0;0
13060028;Granzin;-;0;0;0;0
13060029;Grebbin;-;0;0;0;0
13060030;Groß Godems;1;0;0;0;1
13060032;Groß Niendorf;-;0;0;0;0
13060033;Herzberg;-;0;0;0;0
13060035;Hohen Pritz;1;0;0;0;1
13060036;Karbow-Vietlübbe;-;0;0;0;0
13060037;Karow;-;0;0;0;0
13060038;Karrenzin;1;0;0;0;1
13060039;Klinken;1;1;0;0;0
13060040;Kobrow;-;0;0;0;0
13060041;Kreien;-;0;0;0;0
13060042;Kritzow;1;0;1;0;0
13060045;Langen Brütz;3;3;0;0;0
13060046;Langen Jarchow;-;0;0;0;0
13060047;Langenhagen;-;0;0;0;0
13060048;Leezen;1;0;0;1;0
13060049;Lübz, Stadt;1;0;0;-3;4
13060050;Lutheran;1;0;0;0;1
13060051;Marnitz;-;0;0;0;0
13060052;Matzlow-Garwitz;-;0;0;0;0
13060053;Mestlin;-;0;0;0;0
13060054;Mustin;-;0;0;0;0
13060055;Neu Poserin;-;0;0;0;0
13060056;Parchim, Stadt;19;-1;3;8;9
13060057;Passow;1;0;0;-1;2
13060059;Pinnow;2;0;1;0;1
13060060;Plate;2;1;0;-2;3
13060061;Plau am See, Stadt;14;0;2;1;11
13060063;Raben Steinfeld;-;0;0;-1;1
13060064;Raduhn;-;0;0;0;0
13060067;Rom;1;0;0;0;1
13060070;Severin;1;0;0;0;1
13060071;Siggelkow;-;0;0;0;0
13060072;Spornitz;-;0;0;0;0
13060073;Sternberg, Stadt;18;-8;20;6;0
13060074;Stolpe;4;1;0;1;2
13060076;Suckow;2;0;0;0;2
13060077;Sukow;3;0;0;0;3
13060078;Techentin;3;1;1;0;1
13060079;Tessenow;-;0;0;0;0
13060080;Tramm;-;0;0;0;0
13060081;Wahlstorf;-;0;0;0;0
13060082;Weitendorf;-;0;-1;1;0
13060083;Wendisch Priborn;-;0;0;0;0
13060084;Wendisch Waren;-;0;0;0;0
13060086;Werder;-;0;0;0;0
13060087;Wessin;-;0;0;0;0
13060088;Witzin;2;-1;2;0;1
13060089;Zahrensdorf;-;0;0;0;0
13060090;Zapel;-;0;0;0;0
13060091;Ziegendorf;-;0;0;0;0
13060092;Zölkow;-;0;0;0;0
13060093;Gallin-Kuppentin;1;0;0;1;0
13060094;Barkhagen;-;0;0;0;0
13060095;Buchberg;-;0;0;0;0
13060096;Dobin am See;7;-1;0;2;6
13060097;Kuhlen-Wendorf;2;0;1;0;1
13060098;Lewitzrand;-;-;-;-;-
13060099;Techentin;-;-;-;-;-
13061001;Altefähr;-;0;0;0;0
13061002;Altenkirchen;2;0;0;1;1
13061003;Baabe;28;12;9;-1;8
13061004;Bergen auf Rügen, Stadt;48;0;36;13;-1
13061005;Binz;95;22;31;38;4
13061006;Breege;59;13;26;12;8
13061007;Buschvitz;1;0;0;0;1
13061008;Dranske;30;0;19;3;8
13061009;Dreschvitz;-;0;0;0;0
13061010;Gager;9;0;1;3;5
13061011;Garz/Rügen, Stadt;21;0;4;2;15
13061012;Gingst;1;0;0;0;1
13061013;Glowe;36;0;7;13;16
13061014;Göhren;31;0;29;-1;3
13061016;Gustow;3;0;0;1;2
13061017;Insel Hiddensee;10;5;3;2;0
13061019;Kluis;1;0;0;0;1
13061020;Lancken-Granitz;11;1;1;3;6
13061021;Lietzow;6;0;2;3;1
13061022;Lohme;-;0;0;0;0
13061023;Middelhagen;13;5;3;3;2
13061024;Neuenkirchen;10;0;0;7;3
13061025;Parchtitz;1;0;0;0;1
13061026;Patzig;3;0;1;1;1
13061027;Poseritz;2;1;0;0;1
13061028;Putbus, Stadt;78;10;60;6;2
13061029;Putgarten;4;2;-1;1;2
13061030;Ralswiek;1;0;0;0;1
13061031;Rambin;9;0;2;2;5
13061032;Rappin;3;0;0;2;1
13061033;Sagard;2;0;1;0;1
13061034;Samtens;7;1;3;0;3
13061035;Sassnitz, Stadt;22;19;9;10;-16
13061036;Schaprode;1;0;0;0;1
13061037;Sehlen;1;0;0;0;1
13061038;Sellin;39;22;26;-13;4
13061039;Thesenvitz;1;0;0;0;1
13061040;Thiessow;2;0;0;2;0
13061041;Trent;2;0;0;2;0
13061042;Ummanz;6;0;2;2;2
13061043;Wiek;8;0;0;2;6
13061044;Zirkow;3;0;0;2;1
13062001;Ahlbeck;2;0;0;1;1
13062002;Altwarp;-;0;0;0;0
13062003;Altwigshagen;-;0;0;0;0
13062005;Bergholz;-;0;0;0;0
13062007;Blankensee;-;0;0;0;0
13062008;Blumenhagen;-;0;0;0;0
13062009;Boock;-;0;0;0;0
13062010;Brietzig;-;0;0;0;0
13062011;Damerow;-1;0;0;-1;0
13062012;Eggesin, Stadt;4;0;0;1;3
13062013;Fahrenwalde;-;0;0;0;0
13062014;Ferdinandshof;3;0;0;1;2
13062016;Glasow;-;0;0;0;0
13062017;Grambin;-;0;0;0;0
13062018;Grambow;-;0;0;0;0
13062019;Groß Luckow;-;0;0;0;0
13062021;Hammer a. d. Uecker;1;0;0;0;1
13062022;Heinrichsruh;-;0;0;0;0
13062023;Heinrichswalde;1;0;0;0;1
13062024;Hintersee;-;0;0;0;0
13062025;Jatznick;-;0;0;0;0
13062026;Klein Luckow;1;0;0;0;1
13062027;Koblentz;1;0;0;0;1
13062028;Krackow;-;0;0;0;0
13062029;Krugsdorf;-;0;0;0;0
13062031;Leopoldshagen;7;3;2;1;1
13062032;Liepgarten;4;0;0;0;4
13062033;Löcknitz;6;0;0;3;3
13062034;Luckow;-;0;0;0;0
13062036;Meiersberg;-;0;0;0;0
13062038;Mönkebude;5;3;0;0;2
13062039;Nadrensee;-;0;0;0;0
13062040;Nieden;-;0;0;0;0
13062042;Papendorf;-;0;0;0;0
13062043;Pasewalk, Stadt;4;0;0;0;4
13062044;Penkun, Stadt;2;0;0;0;2
13062045;Plöwen;2;0;0;0;2
13062046;Polzow;-;0;0;0;0
13062047;Ramin;-;0;0;0;0
13062049;Rollwitz;-;0;0;-1;1
13062050;Rossow;-;0;0;0;0
13062051;Rothemühl;2;0;0;0;2
13062052;Rothenklempenow;1;0;0;1;0
13062053;Schönwalde;-;0;0;0;0
13062056;Strasburg (Uckermark), Stadt;18;15;1;2;0
13062057;Torgelow-Holländerei;1;0;0;0;1
13062058;Torgelow, Stadt;11;8;-1;5;-1
13062059;Ueckermünde, Stadt;27;10;13;-1;5
13062060;Viereck;-;0;0;0;0
13062061;Vogelsang-Warsin;2;0;1;1;0
13062062;Wilhelmsburg;2;2;0;0;0
13062064;Zerrenthin;1;1;0;0;0
13062065;Züsedom;-;0;0;0;0
13062066;Lübs;-;0;0;0;0
13071001;Alt Schwerin;-;-;-;-;-
13071002;Altenhagen;-;-;-;-;-
13071003;Altenhof;-;-;-;-;-
13071004;Altentreptow, Stadt;-;-;-;-;-
13071005;Ankershagen, Schliemanngemeinde;-;-;-;-;-
13071006;Bartow;-;-;-;-;-
13071007;Basedow;-;-;-;-;-
13071008;Beggerow;-;-;-;-;-
13071009;Beseritz;-;-;-;-;-
13071010;Blankenhof;-;-;-;-;-
13071011;Blankensee;-;-;-;-;-
13071012;Blumenholz;-;-;-;-;-
13071013;Bollewick;-;-;-;-;-
13071014;Borrentin;-;-;-;-;-
13071015;Bredenfelde;-;-;-;-;-
13071016;Breesen;-;-;-;-;-
13071017;Breest;-;-;-;-;-
13071018;Briggow;-;-;-;-;-
13071019;Brunn;-;-;-;-;-
13071020;Buchholz;-;-;-;-;-
13071021;Burg Stargard, Stadt;-;-;-;-;-
13071022;Burow;-;-;-;-;-
13071023;Bütow;-;-;-;-;-
13071024;Cammin;-;-;-;-;-
13071025;Carpin;-;-;-;-;-
13071026;Cölpin;-;-;-;-;-
13071027;Dargun, Stadt;-;-;-;-;-
13071028;Datzetal;-;-;-;-;-
13071029;Demmin, Hansestadt;-;-;-;-;-
13071030;Duckow;-;-;-;-;-
13071031;Eichhorst;-;-;-;-;-
13071032;Faulenrost;-;-;-;-;-
13071033;Feldberger Seenlandschaft;-;-;-;-;-
13071034;Fincken;-;-;-;-;-
13071035;Friedland, Stadt;-;-;-;-;-
13071036;Fünfseen;-;-;-;-;-
13071037;Galenbeck;-;-;-;-;-
13071038;Genzkow;-;-;-;-;-
13071039;Gielow;-;-;-;-;-
13071040;Glienke;-;-;-;-;-
13071041;Gnevkow;-;-;-;-;-
13071042;Godendorf;-;-;-;-;-
13071043;Göhren-Lebbin;-;-;-;-;-
13071044;Golchen;-;-;-;-;-
13071045;Gotthun;-;-;-;-;-
13071046;Grabow-Below;-;-;-;-;-
13071047;Grabowhöfe;-;-;-;-;-
13071048;Grammentin;-;-;-;-;-
13071049;Grapzow;-;-;-;-;-
13071050;Grischow;-;-;-;-;-
13071051;Groß Dratow;-;-;-;-;-
13071052;Groß Gievitz;-;-;-;-;-
13071053;Groß Kelle;-;-;-;-;-
13071054;Groß Miltzow;-;-;-;-;-
13071055;Groß Nemerow;-;-;-;-;-
13071056;Groß Plasten;-;-;-;-;-
13071057;Groß Teetzleben;-;-;-;-;-
13071058;Grünow;-;-;-;-;-
13071059;Gültz;-;-;-;-;-
13071060;Gülzow;-;-;-;-;-
13071061;Helpt;-;-;-;-;-
13071062;Hinrichshagen;-;-;-;-;-
13071063;Hohen Wangelin;-;-;-;-;-
13071064;Hohenbollentin;-;-;-;-;-
13071065;Hohenmocker;-;-;-;-;-
13071066;Hohenzieritz;-;-;-;-;-
13071067;Holldorf;-;-;-;-;-
13071068;Ivenack;-;-;-;-;-
13071069;Jabel;-;-;-;-;-
13071070;Jürgenstorf;-;-;-;-;-
13071071;Kargow;-;-;-;-;-
13071072;Kentzlin;-;-;-;-;-
13071073;Kieve;-;-;-;-;-
13071074;Kittendorf;-;-;-;-;-
13071075;Klein Vielen;-;-;-;-;-
13071076;Kletzin;-;-;-;-;-
13071077;Klink;-;-;-;-;-
13071078;Klocksin;-;-;-;-;-
