;;;;;;;;;;
Haftungsausschluss und Copyright;;;;;;;;;;
"Aufgrund der technischen Merkmale des Internet kann die Zertifizierungsstelle keine Gewähr für die Vollständigkeit und Richtigkeit der hier eingestellten Informationen übernehmen. Sie sollten deshalb die Richtigkeit der hier präsentierten Informationen überprüfen, insbesondere wenn sie als Grundlage für Vertragsabschlüsse dienen. 
Diese Informationen dürfen gespeichert, weitergeben und vervielfältigt, jedoch nicht verändert werden. Bei Weitergabe und Vervielfältigung wird um Quellenangabe gebeten.
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Str. 18
56058 Koblenz";Aufgeschobene Rentenversicherung nach Tarif BA1 als Basisrente (Verträge bis 2009);Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;005316;30.12.2010;19.05.2016;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Str. 18
56058 Koblenz";Sofort beginnende Rentenversicherung als Basisrente;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;004910;29.03.2010;03.09.2013;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Str. 18
56058 Koblenz";Aufgeschobene Rentenversicherung mit Todesfall-Leistung als Basisrente;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;004911;29.03.2010;25.01.2013;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Str. 18
56058 Koblenz";Aufgeschobene Rentenversicherung als Basisrente;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;004909;29.03.2010;03.09.2013;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Straße 18
56058 Koblenz am Rhein";Aufgeschobene Rentenversicherung nach Tarif BA3 als Basisrente;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;005825;26.02.2013;12.03.2015;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Straße 18
56058 Koblenz am Rhein";Sofort beginnende Rentenversicherung nach Tarif BS1 als Basisrente;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;005826;14.02.2013;12.03.2015;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Straße 18
56058 Koblenz am Rhein";Rentenversicherung nach Tarif F 01/2015;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;A;005923;02.12.2014;16.01.2017;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Straße 18
56058 Koblenz am Rhein";Aufgeschobene Rentenversicherung nach Tarif BA3 als Basisrente 01/2015;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;005921;28.11.2014;15.01.2020;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Straße 18
56058 Koblenz am Rhein";Aufgeschobene Rentenversicherung nach Tarif BA6 als Basisrente 01/2015;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;005922;28.11.2014;01.01.2022;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Straße 18
56058 Koblenz am Rhein";Sofort beginnende Rentenversicherung nach Tarif BS1 als Basisrente 01/2015;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;005913;28.10.2014;;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Straße 18
56058 Koblenz am Rhein";Aufgeschobene Rentenversicherung nach Tarif BA6 als Basisrente;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;005761;24.10.2012;12.03.2015;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Straße 18
56058 Koblenz am Rhein";sofort beginnende Rentenversicherung nach Tarif SF 04/2017;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;A;006113;23.12.2016;;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Straße 18
56058 Koblenz am Rhein";Rentenversicherung nach Tarif CF 04/2017;Debeka Lebensversicherungsverein auf Gegenseitigkeit ;A;006050;19.09.2016;;;;
Debeka Lebensversicherungsverein auf Gegenseitigkeit Sitz Koblenz am Rhein;"Ferdinand-Sauerbruch-Straße 18
56058 Koblenz am Rhein";Aufgeschobene Rentenversicherung nach Tarif BA6 (01/2021);Debeka Lebensversicherungsverein auf Gegenseitigkeit ;B;006462;28.12.2021;;;;
DEGI Deutsche Gesellschaft für Immobilienfonds mbH;"Bettinastr. 53-55
60325 Frankfurt/M";Activest/FSB Switch Förderplan (BVI-Verbandsmuster eines Altersvorsorgevertrages);Aberdeen Asset Management Deutschland AG;A;003075;01.01.2002;01.01.2017;;;
Degussa Bank GmbH;"Theodor-Heuss-Allee 74
60486 Frankfurt am Main";Degussa Bank Wohnförderdarlehen;Degussa Bank AG;A;004456;23.12.2008;01.01.2017;;;
DekaBank Deutsche Girozentrale;"Mainzer Landstr. 16
60325 Frankfurt am Main";Deka-ZukunftsPlan;DekaBank Deutsche Girozentrale;A;004455;19.12.2008;;;;
DekaBank Deutsche Girozentrale;"Mainzer Landstraße 16
60325 Frankfurt am Main";Deka-RenteDirekt;DekaBank Deutsche Girozentrale;A;005743;20.07.2012;01.01.2017;;;
DekaBank Deutsche Girozentrale;"Mainzer Landstr. 16
60325 Frankfurt am Main";Deka-BasisRente (Bestandsverträge mit den bisherigen Sonderbedingungen);DekaBank Deutsche Girozentrale;B;005076;22.06.2010;01.01.2017;;;
DekaBank Deutsche Girozentrale;"Mainzer Landstr. 16
60325 Frankfurt am Main";Deka-BasisRente (Neuverträge ab 01.01.2010 mit den neuen Sonderbedingungen);DekaBank Deutsche Girozentrale;B;004519;06.01.2010;;;;
Delta Lloyd Lebensversicherung AG;"Gustav-Stresemann-Ring 7 - 9
65189 Wiesbaden";Delta Lloyd Basisrente classic;Athora Lebensversicherung AG ;B;004922;01.04.2010;01.01.2014;;;
Delta Lloyd Lebensversicherung AG;"Gustav-Stresemann-Ring 7 - 9
65189 Wiesbaden";Delta Lloyd Basisrente invest;Athora Lebensversicherung AG ;B;004923;01.04.2010;01.01.2014;;;
Delta Lloyd Lebensversicherung Aktiengesellschaft;"Gustav-Stresemann-Ring 7 - 9
65189 Wiesbaden";Basisrente classic;Athora Lebensversicherung AG ;B;005279;16.12.2010;01.01.2014;;;
Delta Lloyd Lebensversicherung Aktiengesellschaft;"Gustav-Stresemann-Ring 7 - 9
65189 Wiesbaden";Basisrente classic;Athora Lebensversicherung AG ;B;005280;16.12.2010;01.01.2014;;;
Delta Lloyd Lebensversicherung Aktiengesellschaft;"Gustav-Stresemann-Ring 7 - 9
65189 Wiesbaden";Basisrente invest und Basisrente invest Plus;Athora Lebensversicherung AG ;B;005281;16.12.2010;01.01.2014;;;
Delta Lloyd Lebensversicherung Aktiengesellschaft;"Gustav-Stresemann-Ring 7 - 9
65189 Wiesbaden";Basisrente invest und Basisrente invest Plus;Athora Lebensversicherung AG ;B;005282;16.12.2010;01.01.2014;;;
Dettinger Bank eG Volks- und Raiffeisenbank;"Karlstr. 74
72581 Dettingen an der Erms";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Dettinger Bank eG Volks- und Raiffeisenbank;A;002668;01.01.2002;;;;
Deutsche Ärzteversicherung AG;"Postfach 80 50 70
51058 Köln";med Rente Basis;Deutsche Ärzteversicherung Aktiengesellschaft;A;000132;01.01.2002;07.05.2008;;;
Deutsche Ärzteversicherung AG;"Postfach 80 50 70
51058 Köln";med Rente Invest;Deutsche Ärzteversicherung Aktiengesellschaft;A;000136;01.01.2002;31.12.2011;;;
Deutsche Ärzteversicherung AG;"Postfach 80 50 70
51058 Köln";med Rente Classic;Deutsche Ärzteversicherung Aktiengesellschaft;A;000137;01.01.2002;07.05.2008;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";DÄV Rentenversicherung Schicht 1.;Deutsche Ärzteversicherung Aktiengesellschaft;B;005305;29.12.2010;01.01.2017;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";DÄV sofort beginnende Rentenversicherung Schicht 1. (2005-2007);Deutsche Ärzteversicherung Aktiengesellschaft;B;005263;09.12.2010;01.01.2017;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";DÄV klassische Rentenversicherung Schicht 1. (2005-2007);Deutsche Ärzteversicherung Aktiengesellschaft;B;005264;10.12.2010;01.01.2017;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";DÄV fondsgebundene Rentenversicherung Schicht 1. (2005-2007);Deutsche Ärzteversicherung Aktiengesellschaft;B;005265;10.12.2010;01.01.2017;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";DÄV Rentenversicherung Schicht 1.;Deutsche Ärzteversicherung Aktiengesellschaft;B;004914;29.03.2010;01.01.2017;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";DÄV Rentenversicherung Schicht 1;Deutsche Ärzteversicherung Aktiengesellschaft;B;005831;28.03.2013;01.01.2017;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";Rentenversicherung mit Indexpartizipation;Deutsche Ärzteversicherung Aktiengesellschaft;B;005868;17.09.2013;01.01.2017;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";Fondsgebundene Rentenversicherung;Deutsche Ärzteversicherung Aktiengesellschaft;B;006068;27.09.2016;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";Rentenversicherung mit Indexpartizipation;Deutsche Ärzteversicherung Aktiengesellschaft;B;006069;27.09.2016;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";Relax BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006154;19.09.2017;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";Fonds-BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006174;14.11.2017;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";Relax BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006282;25.09.2019;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";Fonds-BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006283;25.09.2019;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Colonia-Allee 10-20
51067 Köln";Relax BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006446;22.10.2021;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Colonia-Allee 10-20
51067 Köln";Fonds-BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006447;22.10.2021;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Colonia-Allee 10-20
51067 Köln";Fonds-BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006539;04.01.2024;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Colonia-Allee 10-20
51067 Köln";Relax BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006502;08.11.2022;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Colonia-Allee 10-20
51067 Köln";Relax BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006566;30.09.2024;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Colonia-Allee 10-20
51067 Köln";Fonds-BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006567;30.09.2024;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";Relax BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006355;07.09.2020;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Börsenplatz 1
50667 Köln";Fonds-BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006356;07.09.2020;;;;
Deutsche Ärzteversicherung Aktiengesellschaft;"Colonia-Allee 10-20
51067 Köln";Fonds-BasisRente für Heilberufe;Deutsche Ärzteversicherung Aktiengesellschaft;B;006503;08.11.2022;;;;
Deutsche Asset & Wealth Management Investment GmbH;"Mainzer Landstr. 178-190
60327 Frankfurt am Main";DWS BasisRente Komfort;DWS Investment GmbH;B;006176;15.11.2017;;;;
Deutsche Bank Bauspar-AG;"Niddagaustr. 42
60489 Frankfurt am Main";Tarif FörderBausparen;BHW Bausparkasse Aktiengesellschaft;A;004466;15.04.2009;01.01.2017;;;
Deutsche Bank Bauspar-Aktiengesellschaft;"Niddagaustraße 42
60489 Frankfurt am Main";Tarif: FörderBausparen Flex;BHW Bausparkasse Aktiengesellschaft;A;006157;28.09.2017;;;;
Deutsche Bank Bauspar-Aktiengesellschaft;"Niddagaustraße 42
60489 Frankfurt am Main";FörderBausparen Flex (WR2);BHW Bausparkasse Aktiengesellschaft;A;006327;18.12.2019;;;;
Deutsche Bank Bauspar-Aktiengesellschaft;"Niddagaustraße 42
60489 Frankfurt am Main";FörderBausparen Flex;BHW Bausparkasse Aktiengesellschaft;A;005930;20.04.2015;;;;
Deutsche Bausparkasse Badenia AG;"Badeniaplatz 1
76114 Karlsruhe";Annuitätisches Immobiliendarlehen - Eigenheimrente;Deutsche Bausparkasse Badenia Aktiengesellschaft;A;003974;01.11.2008;01.01.2017;;;
Deutsche Bausparkasse Badenia AG;"Badeniaplatz 1
76114 Karlsruhe";Via Badenia R;Deutsche Bausparkasse Badenia Aktiengesellschaft;A;003976;01.11.2008;01.01.2017;;;
Deutsche Bausparkasse Badenia Aktiengesellschaft;"Badeniaplatz 1
76114 Karlsruhe, Baden";Via Badenia 15 R;Deutsche Bausparkasse Badenia Aktiengesellschaft;A;005919;21.11.2014;;;;
Deutsche Bausparkasse Badenia Aktiengesellschaft;"Badeniaplatz 1
76114 Karlsruhe, Baden";Via Badenia 500 R;Deutsche Bausparkasse Badenia Aktiengesellschaft;A;005822;21.12.2012;01.01.2017;;;
Deutsche Steuerberater-Versicherung - Pensionskasse des steuerberatenden Berufs VVaG;"Poppelsdorfer Allee 24
53115 Bonn";ds:Basisrente;Deutsche Steuerberater-Versicherung - Pensionskasse des steuerberatenden Berufs VVaG;B;005195;05.11.2010;;;;
Deutsche Steuerberater-Versicherung - Pensionskasse des steuerberatenden Berufs VVaG;"Poppelsdorfer Allee 24
53115 Bonn";ds:Basis, ds:Rente bzw. ds:Rente plus als Basisversorgung;Deutsche Steuerberater-Versicherung - Pensionskasse des steuerberatenden Berufs VVaG;B;005226;19.11.2010;01.01.2017;;;
DEUTSCHER HEROLD Lebensversicherung AG ;"Poppelsdorfer Allee 25-33
53115 Bonn";Fondsgebundene Rentenversicherung mit Beitragsgarantie;Zurich Deutscher Herold Lebensversicherung Aktiengesellschaft;A;003746;01.10.2003;01.01.2006;;;
"DEUTSCHER HEROLD Lebensversicherung AG


";"Poppelsdorfer Allee 25-33
53115 Bonn";Fondsgebundene Rentenversicherung mit Beitragsgarantie;Zurich Deutscher Herold Lebensversicherung Aktiengesellschaft;A;003804;02.01.2006;01.01.2017;;;
DEUTSCHER HEROLD Lebensversicherungs-AG der Deutschen Bank;"Postfach 14 48
53004 Bonn";Fondsgebundener Kapitalisierungsvertrag mit Auszahlungsplan und Beitragsgarantie;Zurich Deutscher Herold Lebensversicherung Aktiengesellschaft;A;003658;01.07.2002;01.01.2006;;;
DEUTSCHER HEROLD Lebensversicherungs-AG der Deutschen Bank;"Postfach 14 48
53004 Bonn";Fondsgeb.  Rentenvers. mit Beitragsgarantie (Bonusrente);Zurich Deutscher Herold Lebensversicherung Aktiengesellschaft;A;000151;01.01.2002;01.12.2012;;;
Deutscher Investment - Trust Gesellschaft für Wertpapieranlagen mbH;"Mainzer Landstraße 11 - 13
60329 Frankfurt am Main";dit-Fondsvorsorge (Depotführung Dresdner Bank) ;Allianz Global Investors GmbH;A;003525;01.01.2002;01.01.2006;;;
Deutscher Investment - Trust Gesellschaft für Wertpapieranlagen mbH;"Mainzer Landstraße 11 - 13
60329 Frankfurt am Main";dit-fondsvorsorge;Allianz Global Investors GmbH;A;003526;01.01.2002;01.01.2006;;;
Deutscher Investment - Trust Gesellschaft für Wertpapieranlagen mbH;"Mainzer Landstraße 11 - 13
60329 Frankfurt am Main";dit-fondsvorsorge (mit inländischen Fonds);Allianz Global Investors GmbH;A;003605;02.04.2002;01.01.2013;;;
Deutscher Investment - Trust Gesellschaft für Wertpapieranlagen mbH;"Mainzer Landstraße 11 - 13
60329 Frankfurt am Main";dit-fondsvorsorge (Depotführung Dresdner Bank);Allianz Global Investors GmbH;A;003606;02.04.2002;01.01.2013;;;
DEUTSCHER RING Lebensversicherung AG;"Postfach 11 20 33
20420 Hamburg";RingRentenKonto;Baloise  Lebensversicherung AG Deutschland;A;000081;01.01.2002;01.12.2012;;;
Deutscher Ring Lebensversicherungs- AG;"Ludwig-Erhard--Straße 22
20459 Hamburg";Fondsgebundene Rentenversicherung nach Tarif RRI;Baloise  Lebensversicherung AG Deutschland;A;003869;01.03.2007;01.01.2012;;;
Deutscher Ring Lebensversicherungs-AG;"Ludwig-Erhard-Straße 22
20459 Hamburg";MONEYMAXX Discover level 2 Riesterrente - Tarif XY (variabler Name);Baloise  Lebensversicherung AG Deutschland;A;003966;01.08.2008;01.01.2012;;;
Deutscher Ring Lebensversicherungs-AG;"Ludwig-Erhard-Straße 22
20459 Hamburg";Fondsgebundene Rentenversicherung gem. AltZertG nach dem Tarif XY (variabler Name);Baloise  Lebensversicherung AG Deutschland;A;003955;01.04.2008;01.01.2012;;;
DEUTSCHER RING Lebensversicherungs-AG;"Ludwig-Erhard-Str. 22
20459 Hamburg";Discover level 1  Fondsgebundene Basisrente nach tarif XY (variabler Name);Baloise  Lebensversicherung AG Deutschland;B;004497;18.12.2009;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-AG;"Postfach 11 20 33
20420 Hamburg";"RingRentenKonto invest
";Baloise  Lebensversicherung AG Deutschland;A;000053;01.01.2002;01.12.2012;;;
DEUTSCHER RING Lebensversicherungs-AG;"Ludwig-Erhard-Straße 22
20459 Hamburg";RingBasisRente invest (Neuverträge);Baloise  Lebensversicherung AG Deutschland;B;004975;28.05.2010;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-AG;"Ludwig-Erhard-Straße 22
20459 Hamburg";RingBasisRente (Neuverträge);Baloise  Lebensversicherung AG Deutschland;B;004976;28.05.2010;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";RingBasisRente invest (Bestandsvertrag - Abschlüsse bis zum 31.12.2007);Baloise  Lebensversicherung AG Deutschland;B;005192;04.11.2010;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";RingBasisRente, Vertragsabschlüsse 01.01.2008 bis 31.12.2009 ;Baloise  Lebensversicherung AG Deutschland;B;005164;19.10.2010;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";MONEYMAXX Discover level 1, Vertragsabschlüsse bis zum 31.12.2009 ;Baloise  Lebensversicherung AG Deutschland;B;005193;04.11.2010;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";RingBasisRente invest, Vertragsabschlüsse 01.01.2008 bis 31.12.2009 ;Baloise  Lebensversicherung AG Deutschland;B;005163;19.10.2010;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";RingBasisRente top3 (Neuverträge);Baloise  Lebensversicherung AG Deutschland;B;005227;23.11.2010;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";MONEYMAXX Discover level 1 (Neuabschlüsse ab 01.01.2012);Baloise  Lebensversicherung AG Deutschland;B;005679;10.11.2011;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";RingBasisRente (Neuabschlüsse ab 01.01.2012);Baloise  Lebensversicherung AG Deutschland;B;005680;10.11.2011;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";RingRiesterAktiv top3 (Neuabschlüsse ab 01.01.2012);Baloise  Lebensversicherung AG Deutschland;A;005665;01.01.2012;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";RingBasisRente top3 (Neuabschlüsse ab 01.01.2012);Baloise  Lebensversicherung AG Deutschland;B;005681;10.11.2011;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";MONEYMAXX Discover level 2 - Riesterrente (Neuabschlüsse ab 01.01.2012);Baloise  Lebensversicherung AG Deutschland;A;005666;01.01.2012;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";BaslerBasisRente;Baloise  Lebensversicherung AG Deutschland;B;005823;06.02.2013;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";BaslerBasisRente top3;Baloise  Lebensversicherung AG Deutschland;B;005824;06.02.2013;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";MONEYMAXX Zusatzrente mit staatl. Förderung - Bestandsverträge;Baloise  Lebensversicherung AG Deutschland;B;005315;30.12.2010;01.01.2017;;;
DEUTSCHER RING Lebensversicherungs-Aktiengesellschaft;"Ludwig-Erhard-Straße 22
20459 Hamburg";RingBasisRente (Bestandsvertrag - Abschlüsse bis zum 31.12.2007);Baloise  Lebensversicherung AG Deutschland;B;005165;19.10.2010;01.01.2017;;;
DEVK Allgemeine Lebensversicherungs -Aktiengesellschaft;"Riehler Straße 190
50735 Köln";N B2(F) M/F;DEVK Allgemeine Lebensversicherungs-Aktiengesellschaft;B;004927;01.04.2010;01.01.2017;;;
DEVK Allgemeine Lebensversicherungs -Aktiengesellschaft;"Riehler Straße 190
50735 Köln";N B2(F) M/F;DEVK Allgemeine Lebensversicherungs-Aktiengesellschaft;B;005614;26.04.2011;01.01.2017;;;
DEVK Allgemeine Lebensversicherungs-AG;"Riehler Str. 190
50735 Köln";DEVK-Vorsorgeplan;DEVK Allgemeine Lebensversicherungs-Aktiengesellschaft;A;003812;02.01.2006;01.01.2017;;;
DEVK Allgemeine Lebensversicherungs-AG;"Riehler Str. 190
50735 Köln";DEVK-Vorsorgeplan;DEVK Allgemeine Lebensversicherungs-Aktiengesellschaft;A;003495;01.01.2002;01.01.2006;;;
DEVK Allgemeine Lebensversicherungs-Aktiengesellschaft;"Riehler Straße 190
50735 Köln";N A1;DEVK Allgemeine Lebensversicherungs-Aktiengesellschaft;A;005969;21.10.2015;01.01.2021;;;
DEVK Allgemeine Lebensversicherungs-Aktiengesellschaft;"Riehler Straße 190
50735 Köln";N B2;DEVK Allgemeine Lebensversicherungs-Aktiengesellschaft;B;005971;21.10.2015;31.12.2016;;;
DEVK Deutsche Eisenbahn Ver sicherung Lebensversicherungs verein a.G. Betr. Sozialein richtung der Deutschen Bahn AG;"Riehler Str. 190
50735 Köln";L B2(F) M/F;DEVK Deutsche Eisenbahn Versicherung Lebensversicherungsverein a.G. Betr. Sozialeinrichtung der Deutschen Bahn ;B;005615;26.04.2011;01.01.2017;;;
DEVK Deutsche Eisenbahn Ver sicherung Lebensversicherungs verein a.G. Betr. Sozialein richtung der Deutschen Bahn AG;"Riehler Str. 190
50735 Köln";L B2(F) M/F;DEVK Deutsche Eisenbahn Versicherung Lebensversicherungsverein a.G. Betr. Sozialeinrichtung der Deutschen Bahn ;B;004928;01.04.2010;01.01.2017;;;
DEVK Deutsche Eisenbahn Versicherung Lebensversicherungsverein a.G. Betr. Sozialeinrichtung der Deutschen Bahn ;"Riehler Str. 190
50735 Köln";L B2;DEVK Deutsche Eisenbahn Versicherung Lebensversicherungsverein a.G. Betr. Sozialeinrichtung der Deutschen Bahn ;B;005970;21.10.2015;31.12.2016;;;
DEVK Deutsche Eisenbahn Versicherung Lebensversicherungsverein a.G. Betr. Sozialeinrichtung der Deutschen Bahn ;"Riehler Str. 190
50735 Köln";L A1(B) ;DEVK Deutsche Eisenbahn Versicherung Lebensversicherungsverein a.G. Betr. Sozialeinrichtung der Deutschen Bahn ;A;005968;21.10.2015;01.01.2022;;;
DEVK Deutsche Eisenbahn Versicherung Lebensversicherungverein a.G. Betr. Sozialeinrichtung der Deutschen Bahn AG;"Riehler Str. 190
50735 Köln";DEVK-Vorsorgeplan;DEVK Deutsche Eisenbahn Versicherung Lebensversicherungsverein a.G. Betr. Sozialeinrichtung der Deutschen Bahn ;A;003494;01.01.2002;01.01.2006;;;
"DEVK Deutsche Eisenbahn Versicherung,
Lebensversicherungsverein a.G.,
Betriebliche Sozialeinrichtung der DB";"Riehler Str. 190
50735 Köln";DEVK-Vorsorgeplan;DEVK Deutsche Eisenbahn Versicherung Lebensversicherungsverein a.G. Betr. Sozialeinrichtung der Deutschen Bahn ;A;003811;02.01.2006;01.01.2017;;;
DGM Evangelische Darlehns-Genossenschaft eG;"Friesenring 40
48147 Münster";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);DGM Evangelische Darlehns-Genossenschaft eG;A;001682;01.01.2002;;;;
DGM Evangelische Darlehns-Genossenschaft eG;"Friesenring 40
48147 Münster";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);DGM Evangelische Darlehns-Genossenschaft eG;A;003212;01.01.2002;;;;
DGM Evangelische Darlehns-Genossenschaft eG;"Friesenring 40
48147 Münster";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);DGM Evangelische Darlehns-Genossenschaft eG;A;002324;01.01.2002;;;;
DGZ-DekaBank Deutsche Kommunalbank;"Mainzer Landstr. 16
60325 Frankfurt";Deka-BonusRente;DekaBank Deutsche Girozentrale;A;003604;02.04.2002;;;;
Die Sparkasse Bremen AG;"Am Brill 1-3
28195 Bremen";Sparkassen-Riesterdarlehen;Die Sparkasse Bremen AG;A;003984;01.11.2008;01.01.2017;;;
"Direkte Leben 
Versicherung AG";"Triftstr. 53
60528 Frankfurt";Rentenversicherung nach Altersvermögensgesetz (Einzeltarif);Direkte Leben Versicherung Aktiengesellschaft;A;000096;01.01.2002;01.12.2012;;;
