;1. Start des Fragebogens;1. Start des Fragebogens;1. Start des Fragebogens;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;5. Demographische Daten;5. Demographische Daten;6. Stromspiegel;6. Optionale Angaben;6. Optionale Angaben;6. Optionale Angaben;6. Optionale Angaben;7. Abschluss des Fragebogens
1098141;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;immer;k. A.;k. A.;immer;immer;nie;selten;immer;k. A.;immer;gelegentlich;immer;nie;oft;Ja;selten;selten;oft;oft;k. A.;immer;immer;selten;nie;selten;gelegentlich;nie;oft;gelegentlich;Ja;gelegentlich;immer;immer;gelegentlich;immer;oft;k. A.;k. A.;selten;selten;immer;nie;gelegentlich;nie;nie;immer;oft;gelegentlich;Ja;30-39;männlich;Nein;;;;;Ja
1098142;Ja;Ministerium des Innern;Ja;immer;nie;nie;immer;oft;nie;oft;k. A.;Nein;selten;nie;selten;immer;selten;Ja;selten;gelegentlich;oft;nie;immer;oft;oft;nie;oft;nie;gelegentlich;oft;oft;immer;Nein;nie;oft;k. A.;k. A.;immer;oft;immer;Ja;oft;gelegentlich;immer;k. A.;selten;selten;oft;selten;selten;oft;Nein;50-59;männlich;Ja;Haus;Ohne Strom;4;3.300;Ja
1098161;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;selten;gelegentlich;immer;oft;oft;selten;oft;immer;Ja;gelegentlich;immer;nie;nie;oft;;selten;oft;immer;oft;gelegentlich;gelegentlich;oft;selten;oft;nie;immer;immer;oft;nie;Ja;gelegentlich;immer;oft;oft;immer;oft;nie;Ja;oft;oft;selten;nie;selten;k. A.;oft;selten;oft;gelegentlich;Nein;50-59;weiblich;Nein;;;;;Ja
1098162;Nein;Ministerium des Innern;Nein;immer;selten;nie;immer;immer;nie;nie;immer;Ja;gelegentlich;oft;nie;nie;oft;Nein;nie;selten;immer;selten;immer;immer;immer;gelegentlich;immer;nie;gelegentlich;immer;gelegentlich;gelegentlich;Ja;gelegentlich;oft;oft;nie;gelegentlich;oft;oft;k. A.;oft;oft;nie;nie;nie;nie;immer;selten;nie;oft;Nein;30-39;männlich;Ja;Haus;Mit Strom;5;4.300;Ja
1098163;Ja;Ministerium der Justiz;Ja;oft;k. A.;immer;immer;;nie;k. A.;k. A.;Ja;gelegentlich;immer;immer;oft;nie;Ja;k. A.;k. A.;immer;k. A.;immer;immer;immer;k. A.;immer;nie;immer;oft;immer;immer;k. A.;gelegentlich;k. A.;immer;k. A.;immer;gelegentlich;immer;Ja;oft;gelegentlich;nie;nie;nie;nie;immer;selten;nie;immer;Nein;40-49;weiblich;Nein;;;;;Ja
1098164;Ja;Ministerium des Innern;Nein;selten;nie;nie;gelegentlich;immer;selten;selten;gelegentlich;Nein;oft;immer;selten;selten;selten;Ja;selten;oft;selten;nie;gelegentlich;immer;oft;gelegentlich;gelegentlich;nie;gelegentlich;oft;immer;nie;Ja;gelegentlich;immer;immer;oft;immer;oft;nie;Ja;selten;oft;selten;nie;nie;nie;gelegentlich;gelegentlich;gelegentlich;oft;Nein;40-49;männlich;Nein;;;;;Ja
1098167;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;immer;nie;k. A.;k. A.;oft;nie;k. A.;k. A.;Nein;nie;k. A.;gelegentlich;k. A.;nie;k. A.;nie;selten;oft;nie;k. A.;immer;oft;gelegentlich;oft;nie;gelegentlich;nie;oft;selten;Nein;selten;oft;gelegentlich;immer;immer;gelegentlich;selten;;nie;selten;oft;nie;k. A.;k. A.;nie;gelegentlich;gelegentlich;oft;Ja;30-39;männlich;Nein;;;;;Ja
1098169;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;gelegentlich;nie;immer;immer;k. A.;k. A.;k. A.;oft;Nein;nie;immer;immer;k. A.;k. A.;Ja;nie;selten;selten;nie;immer;immer;k. A.;selten;immer;nie;immer;gelegentlich;immer;oft;Nein;selten;immer;immer;immer;immer;gelegentlich;immer;Ja;gelegentlich;gelegentlich;selten;nie;k. A.;nie;oft;nie;nie;immer;Nein;60-69;weiblich;Nein;;;;;Ja
1098171;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;oft;gelegentlich;k. A.;k. A.;oft;gelegentlich;k. A.;nie;Nein;selten;oft;oft;immer;selten;k. A.;selten;selten;oft;gelegentlich;k. A.;immer;oft;gelegentlich;oft;oft;oft;gelegentlich;oft;nie;Nein;selten;immer;immer;immer;immer;;selten;Ja;nie;selten;oft;nie;oft;selten;selten;oft;selten;immer;Nein;50-59;männlich;Nein;;;;;Ja
1098172;Ja;Ministerium des Innern;Nein;oft;nie;gelegentlich;immer;immer;nie;immer;k. A.;Nein;nie;immer;immer;immer;nie;Ja;immer;immer;gelegentlich;nie;immer;immer;immer;immer;immer;oft;gelegentlich;immer;immer;immer;Nein;gelegentlich;immer;immer;immer;oft;selten;immer;Ja;immer;immer;selten;nie;nie;nie;gelegentlich;selten;gelegentlich;immer;Nein;40-49;männlich;Nein;;;;;Ja
1098173;Ja;Ministerium des Innern;Nein;selten;gelegentlich;immer;immer;immer;oft;oft;immer;Nein;nie;oft;selten;selten;gelegentlich;Ja;selten;gelegentlich;nie;gelegentlich;immer;immer;immer;oft;immer;selten;gelegentlich;selten;immer;immer;Nein;selten;immer;oft;immer;oft;gelegentlich;immer;Ja;gelegentlich;gelegentlich;selten;nie;immer;nie;selten;oft;gelegentlich;oft;Nein;30-39;weiblich;Ja;Haus;Ohne Strom;2;2.000;Ja
1098174;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;nie;nie;nie;nie;oft;nie;k. A.;Nein;immer;k. A.;immer;nie;oft;k. A.;nie;selten;nie;nie;nie;immer;nie;immer;nie;nie;gelegentlich;k. A.;nie;nie;Ja;nie;immer;immer;gelegentlich;immer;oft;nie;Ja;gelegentlich;gelegentlich;nie;nie;oft;k. A.;gelegentlich;gelegentlich;nie;gelegentlich;Nein;50-59;weiblich;Ja;Haus;Ohne Strom;5;3.500;Ja
1098175;Ja;Ministerium der Justiz;Ja;immer;nie;k. A.;immer;immer;immer;immer;k. A.;k. A.;nie;immer;immer;immer;gelegentlich;Ja;k. A.;k. A.;k. A.;k. A.;immer;immer;immer;immer;immer;immer;immer;nie;immer;oft;;nie;immer;immer;immer;immer;immer;oft;Ja;k. A.;k. A.;immer;k. A.;immer;k. A.;k. A.;k. A.;nie;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1098176;Ja;Ministerium der Finanzen;Nein;immer;nie;selten;oft;oft;gelegentlich;immer;nie;k. A.;nie;oft;oft;gelegentlich;gelegentlich;k. A.;gelegentlich;gelegentlich;gelegentlich;nie;oft;immer;oft;oft;gelegentlich;selten;oft;nie;k. A.;nie;k. A.;nie;immer;immer;k. A.;immer;gelegentlich;nie;k. A.;oft;gelegentlich;gelegentlich;nie;gelegentlich;nie;selten;gelegentlich;gelegentlich;k. A.;Nein;18-29;weiblich;Nein;;;;;Ja
1098177;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;immer;oft;k. A.;immer;k. A.;k. A.;immer;immer;k. A.;nie;k. A.;immer;immer;nie;k. A.;gelegentlich;immer;immer;immer;immer;immer;immer;immer;immer;oft;gelegentlich;nie;immer;gelegentlich;Nein;selten;immer;immer;immer;immer;immer;gelegentlich;Ja;immer;immer;immer;nie;immer;nie;nie;oft;gelegentlich;immer;k. A.;18-29;männlich;Nein;;;;;Ja
1098178;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;immer;nie;nie;immer;nie;nie;k. A.;k. A.;k. A.;nie;nie;immer;nie;immer;Ja;selten;gelegentlich;immer;nie;nie;immer;nie;nie;nie;nie;gelegentlich;oft;immer;nie;k. A.;nie;nie;gelegentlich;nie;selten;immer;nie;Ja;gelegentlich;selten;nie;nie;nie;nie;oft;gelegentlich;gelegentlich;immer;Nein;40-49;weiblich;Nein;;;;;Ja
1098180;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;nie;k. A.;k. A.;k. A.;k. A.;k. A.;k. A.;Ja;gelegentlich;k. A.;gelegentlich;k. A.;nie;k. A.;gelegentlich;k. A.;nie;nie;k. A.;immer;oft;nie;nie;nie;gelegentlich;oft;oft;nie;Ja;gelegentlich;k. A.;gelegentlich;oft;immer;oft;nie;Ja;oft;gelegentlich;selten;nie;oft;nie;oft;gelegentlich;nie;oft;Nein;50-59;männlich;Nein;;;;;Ja
1098181;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;selten;k. A.;k. A.;nie;immer;nie;nie;nie;k. A.;oft;k. A.;k. A.;k. A.;oft;k. A.;nie;oft;oft;k. A.;nie;immer;immer;selten;nie;nie;k. A.;oft;immer;oft;Nein;selten;k. A.;k. A.;k. A.;immer;gelegentlich;oft;k. A.;selten;oft;oft;nie;oft;nie;selten;selten;nie;immer;Nein;40-49;männlich;Ja;Haus;Ohne Strom;2;2.900;Ja
1098182;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;gelegentlich;selten;k. A.;immer;oft;k. A.;k. A.;immer;Ja;selten;immer;k. A.;k. A.;gelegentlich;k. A.;gelegentlich;gelegentlich;gelegentlich;nie;immer;oft;oft;gelegentlich;immer;gelegentlich;selten;nie;immer;selten;Ja;nie;immer;oft;oft;immer;gelegentlich;oft;Ja;oft;oft;immer;nie;oft;nie;nie;oft;nie;immer;Nein;60-69;männlich;Ja;Haus;Ohne Strom;2;2.000;Ja
1098183;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;nie;k. A.;k. A.;immer;k. A.;k. A.;k. A.;Nein;nie;k. A.;k. A.;k. A.;nie;k. A.;k. A.;selten;nie;nie;immer;immer;immer;immer;oft;nie;oft;nie;immer;selten;Nein;nie;immer;immer;immer;immer;oft;selten;Ja;nie;selten;nie;nie;oft;k. A.;selten;gelegentlich;nie;immer;Nein;30-39;männlich;Ja;Haus;Ohne Strom;3;2.300;Ja
1098185;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;nie;k. A.;k. A.;immer;immer;k. A.;k. A.;k. A.;selten;k. A.;k. A.;k. A.;nie;k. A.;nie;selten;nie;nie;k. A.;immer;gelegentlich;gelegentlich;immer;nie;selten;immer;gelegentlich;nie;Nein;selten;immer;immer;immer;oft;selten;nie;Ja;selten;gelegentlich;gelegentlich;nie;gelegentlich;selten;selten;gelegentlich;selten;immer;Nein;40-49;männlich;Unvollständig;Haus;Ohne Strom;2;150;Ja
1098186;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;immer;nie;k. A.;k. A.;oft;nie;k. A.;k. A.;Nein;nie;k. A.;k. A.;k. A.;gelegentlich;k. A.;k. A.;gelegentlich;immer;nie;immer;immer;oft;oft;oft;oft;gelegentlich;oft;oft;gelegentlich;Nein;nie;oft;oft;k. A.;oft;oft;k. A.;k. A.;gelegentlich;gelegentlich;immer;nie;immer;nie;gelegentlich;selten;nie;gelegentlich;Nein;40-49;männlich;Ja;Haus;Ohne Strom;5;3.400;Ja
1098188;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;oft;gelegentlich;k. A.;k. A.;oft;selten;k. A.;immer;Ja;k. A.;immer;k. A.;k. A.;gelegentlich;k. A.;nie;selten;oft;oft;k. A.;oft;oft;selten;selten;selten;selten;nie;immer;nie;Ja;nie;selten;oft;gelegentlich;immer;oft;nie;Ja;selten;selten;immer;nie;immer;nie;nie;immer;nie;immer;Ja;60-69;männlich;Nein;;;;;Ja
1098189;Ja;Ministerium der Justiz;Nein;gelegentlich;selten;immer;immer;immer;selten;oft;k. A.;Ja;selten;immer;immer;oft;gelegentlich;Ja;oft;gelegentlich;selten;oft;immer;immer;immer;immer;selten;nie;immer;gelegentlich;immer;nie;Nein;nie;immer;gelegentlich;gelegentlich;immer;gelegentlich;nie;Ja;oft;gelegentlich;gelegentlich;nie;k. A.;nie;gelegentlich;oft;nie;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1098190;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;oft;selten;k. A.;immer;immer;oft;oft;immer;Nein;gelegentlich;k. A.;k. A.;k. A.;nie;k. A.;gelegentlich;gelegentlich;gelegentlich;selten;immer;oft;oft;gelegentlich;nie;nie;oft;gelegentlich;oft;nie;Nein;oft;nie;oft;selten;immer;selten;nie;k. A.;oft;gelegentlich;selten;nie;oft;selten;selten;oft;gelegentlich;oft;Nein;50-59;weiblich;Nein;;;;;Ja
1098191;Ja;Ministerium der Justiz;Ja;nie;nie;nie;oft;selten;selten;oft;k. A.;Ja;nie;nie;nie;selten;k. A.;k. A.;nie;nie;nie;nie;gelegentlich;oft;selten;selten;oft;nie;selten;;immer;nie;Nein;selten;oft;selten;;oft;;nie;Ja;selten;selten;nie;nie;nie;k. A.;immer;nie;k. A.;oft;Nein;40-49;weiblich;Nein;;;;;Ja
1098192;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;selten;gelegentlich;oft;immer;nie;selten;immer;immer;Nein;nie;immer;immer;immer;immer;Ja;nie;selten;selten;gelegentlich;oft;immer;nie;selten;immer;selten;gelegentlich;nie;gelegentlich;gelegentlich;Nein;nie;immer;oft;immer;immer;immer;oft;Ja;nie;selten;nie;nie;selten;nie;oft;selten;gelegentlich;immer;Nein;60-69;weiblich;Nein;;;;;Ja
1098193;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;oft;k. A.;k. A.;immer;k. A.;k. A.;k. A.;Nein;gelegentlich;k. A.;oft;k. A.;oft;k. A.;nie;nie;selten;nie;immer;oft;immer;selten;selten;selten;selten;immer;selten;nie;Nein;gelegentlich;oft;immer;gelegentlich;immer;oft;nie;Ja;nie;nie;selten;nie;oft;nie;oft;selten;selten;gelegentlich;Nein;18-29;männlich;Nein;;;;;Ja
1098195;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;oft;nie;k. A.;k. A.;immer;nie;k. A.;k. A.;Nein;nie;immer;oft;immer;selten;k. A.;nie;selten;selten;nie;k. A.;immer;immer;nie;selten;nie;gelegentlich;nie;oft;nie;;nie;immer;oft;immer;immer;selten;nie;Ja;nie;selten;immer;nie;oft;selten;nie;immer;selten;k. A.;Ja;30-39;weiblich;Ja;Wohnung;Mit Strom;1;850;Ja
1098196;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;oft;selten;k. A.;k. A.;immer;nie;nie;k. A.;Nein;selten;selten;selten;nie;nie;Nein;nie;selten;gelegentlich;selten;selten;immer;oft;selten;selten;nie;selten;gelegentlich;oft;nie;Nein;nie;oft;gelegentlich;gelegentlich;gelegentlich;selten;nie;k. A.;nie;selten;nie;nie;selten;nie;gelegentlich;gelegentlich;selten;gelegentlich;Nein;30-39;weiblich;Nein;;;;;Ja
1098197;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;oft;gelegentlich;k. A.;oft;oft;oft;immer;selten;Ja;nie;immer;k. A.;oft;oft;Ja;gelegentlich;gelegentlich;oft;oft;immer;immer;oft;oft;selten;nie;oft;oft;immer;selten;Ja;nie;immer;oft;oft;immer;oft;nie;Ja;oft;gelegentlich;selten;nie;gelegentlich;nie;oft;gelegentlich;gelegentlich;oft;Nein;40-49;weiblich;Nein;;;;;Ja
1098198;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;immer;k. A.;k. A.;nie;nie;k. A.;k. A.;Nein;immer;k. A.;k. A.;k. A.;k. A.;k. A.;nie;nie;nie;immer;k. A.;immer;immer;immer;selten;nie;k. A.;gelegentlich;immer;gelegentlich;Nein;selten;immer;immer;immer;gelegentlich;oft;nie;Ja;gelegentlich;gelegentlich;nie;nie;k. A.;k. A.;immer;nie;gelegentlich;nie;Nein;30-39;männlich;Ja;Wohnung;Mit Strom;1;2.800;Ja
1098200;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;k. A.;k. A.;k. A.;immer;oft;immer;k. A.;k. A.;k. A.;k. A.;k. A.;immer;gelegentlich;Ja;gelegentlich;gelegentlich;k. A.;k. A.;immer;immer;immer;oft;oft;selten;gelegentlich;nie;oft;nie;Nein;selten;immer;immer;immer;oft;gelegentlich;nie;Ja;gelegentlich;gelegentlich;immer;nie;oft;nie;nie;immer;nie;gelegentlich;Nein;50-59;weiblich;Ja;Wohnung;Ohne Strom;4;3.200;Ja
1098201;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;selten;immer;nie;nie;immer;immer;immer;nie;Nein;nie;nie;nie;nie;nie;Nein;gelegentlich;oft;nie;oft;immer;immer;immer;immer;immer;oft;immer;nie;immer;oft;Nein;nie;oft;selten;nie;immer;nie;oft;Nein;oft;gelegentlich;oft;nie;oft;nie;gelegentlich;selten;selten;immer;Nein;30-39;weiblich;Ja;Wohnung;Mit Strom;2;1.700;Ja
1098202;Ja;Ministerium der Justiz;Ja;oft;selten;nie;immer;oft;oft;selten;k. A.;Ja;nie;immer;oft;selten;nie;Ja;gelegentlich;gelegentlich;gelegentlich;selten;immer;immer;gelegentlich;selten;selten;nie;gelegentlich;immer;immer;selten;Ja;nie;immer;immer;gelegentlich;immer;selten;nie;Ja;gelegentlich;gelegentlich;selten;nie;nie;nie;oft;nie;nie;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1098204;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;gelegentlich;nie;k. A.;k. A.;oft;selten;k. A.;nie;k. A.;nie;k. A.;k. A.;k. A.;gelegentlich;k. A.;selten;gelegentlich;gelegentlich;nie;immer;immer;nie;oft;selten;gelegentlich;selten;gelegentlich;oft;gelegentlich;Nein;nie;immer;immer;immer;immer;selten;immer;Ja;gelegentlich;oft;nie;nie;selten;k. A.;oft;selten;selten;immer;Nein;40-49;weiblich;Ja;Haus;Mit Strom;2;2.700;Ja
1098205;Ja;Ministerium des Innern;Nein;immer;nie;k. A.;immer;immer;nie;gelegentlich;k. A.;Nein;selten;immer;immer;immer;gelegentlich;Ja;selten;selten;immer;nie;selten;immer;immer;selten;nie;nie;gelegentlich;gelegentlich;oft;nie;Nein;nie;immer;immer;immer;immer;gelegentlich;nie;Ja;selten;gelegentlich;oft;nie;selten;k. A.;nie;oft;k. A.;oft;Nein;30-39;weiblich;Nein;;;;;Ja
1098206;Ja;Ministerium der Finanzen;Nein;selten;selten;k. A.;immer;immer;immer;immer;immer;Ja;nie;immer;selten;immer;gelegentlich;Ja;gelegentlich;gelegentlich;k. A.;immer;immer;immer;oft;selten;selten;nie;gelegentlich;nie;oft;selten;Ja;nie;immer;oft;immer;oft;gelegentlich;gelegentlich;Ja;gelegentlich;gelegentlich;immer;nie;immer;nie;nie;immer;nie;oft;Ja;30-39;männlich;Ja;Wohnung;Ohne Strom;2;3.000;Ja
1098209;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Ja;immer;k. A.;k. A.;immer;nie;selten;oft;k. A.;k. A.;immer;k. A.;immer;immer;;k. A.;nie;selten;immer;oft;immer;oft;selten;selten;nie;selten;gelegentlich;nie;immer;selten;Ja;immer;immer;immer;immer;immer;immer;selten;Ja;immer;oft;immer;nie;k. A.;nie;selten;immer;selten;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1098211;Ja;Ministerium des Innern;Ja;immer;selten;k. A.;immer;immer;k. A.;immer;k. A.;Nein;nie;k. A.;gelegentlich;oft;selten;Ja;gelegentlich;oft;gelegentlich;selten;k. A.;immer;immer;oft;nie;nie;oft;selten;immer;gelegentlich;Nein;gelegentlich;immer;gelegentlich;immer;oft;gelegentlich;gelegentlich;Ja;immer;oft;gelegentlich;nie;k. A.;k. A.;oft;selten;selten;oft;Nein;40-49;weiblich;Ja;Haus;Ohne Strom;4;5.500;Ja
1098212;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;oft;k. A.;k. A.;k. A.;oft;k. A.;immer;oft;Nein;gelegentlich;k. A.;oft;k. A.;gelegentlich;k. A.;gelegentlich;oft;immer;selten;immer;immer;immer;immer;immer;selten;gelegentlich;nie;immer;nie;Ja;nie;immer;gelegentlich;immer;immer;selten;nie;Ja;oft;oft;immer;nie;immer;nie;selten;gelegentlich;gelegentlich;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1098213;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Ja;oft;selten;k. A.;immer;immer;nie;selten;k. A.;Nein;gelegentlich;immer;selten;oft;nie;Ja;selten;selten;immer;oft;immer;selten;immer;immer;oft;nie;oft;oft;oft;nie;Nein;nie;immer;gelegentlich;oft;oft;oft;nie;Ja;gelegentlich;gelegentlich;nie;gelegentlich;selten;nie;oft;selten;nie;immer;Nein;30-39;weiblich;Nein;;;;;Ja
1098214;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;immer;k. A.;immer;immer;gelegentlich;immer;k. A.;k. A.;gelegentlich;k. A.;oft;k. A.;nie;k. A.;selten;oft;nie;immer;k. A.;immer;immer;gelegentlich;immer;nie;immer;nie;immer;nie;Nein;nie;immer;immer;immer;immer;gelegentlich;nie;Ja;gelegentlich;gelegentlich;immer;nie;immer;nie;nie;immer;nie;k. A.;Ja;60-69;weiblich;Ja;Wohnung;Mit Strom;1;958;Ja
1098215;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;immer;immer;gelegentlich;immer;immer;oft;immer;gelegentlich;Ja;selten;k. A.;gelegentlich;nie;selten;;gelegentlich;gelegentlich;immer;immer;immer;immer;immer;immer;;selten;immer;gelegentlich;immer;oft;Ja;nie;immer;immer;immer;immer;nie;gelegentlich;Ja;immer;gelegentlich;oft;nie;k. A.;k. A.;selten;oft;nie;immer;Nein;50-59;männlich;Nein;;;;;Ja
1098217;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;nie;k. A.;immer;immer;selten;immer;immer;Nein;gelegentlich;gelegentlich;gelegentlich;gelegentlich;gelegentlich;Ja;selten;nie;nie;selten;k. A.;immer;immer;immer;immer;selten;immer;gelegentlich;immer;gelegentlich;Nein;gelegentlich;immer;immer;immer;immer;immer;gelegentlich;Ja;selten;selten;nie;nie;nie;gelegentlich;oft;selten;oft;oft;Nein;50-59;weiblich;Nein;;;;;Ja
1098219;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;nie;k. A.;k. A.;oft;oft;k. A.;k. A.;Nein;oft;k. A.;k. A.;k. A.;selten;k. A.;selten;selten;nie;nie;oft;oft;oft;oft;immer;nie;oft;gelegentlich;gelegentlich;nie;Nein;gelegentlich;immer;oft;oft;immer;nie;nie;k. A.;selten;gelegentlich;immer;nie;oft;nie;selten;gelegentlich;selten;oft;Nein;50-59;weiblich;Ja;Wohnung;Ohne Strom;2;2.000;Ja
1098220;Ja;Ministerium der Finanzen;Nein;;;;;;;;;;;;;;;;;;oft;selten;oft;immer;immer;oft;immer;nie;oft;nie;immer;selten;Nein;nie;immer;immer;immer;immer;nie;nie;k. A.;oft;immer;selten;nie;k. A.;nie;selten;nie;nie;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1098221;Ja;Ministerium der Justiz;Ja;gelegentlich;nie;selten;oft;gelegentlich;nie;gelegentlich;selten;Ja;selten;gelegentlich;selten;selten;nie;Nein;gelegentlich;selten;gelegentlich;selten;selten;immer;gelegentlich;selten;selten;nie;oft;oft;oft;selten;Ja;selten;gelegentlich;oft;oft;immer;gelegentlich;gelegentlich;Ja;gelegentlich;oft;nie;nie;nie;nie;oft;nie;nie;gelegentlich;Nein;60-69;männlich;Ja;Wohnung;Mit Strom;2;2.800;Ja
1098222;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Ja;oft;selten;k. A.;immer;immer;;k. A.;oft;k. A.;k. A.;immer;;k. A.;gelegentlich;k. A.;selten;k. A.;gelegentlich;selten;k. A.;immer;immer;oft;;k. A.;immer;gelegentlich;;nie;;gelegentlich;immer;gelegentlich;;immer;gelegentlich;nie;Ja;selten;nie;oft;;immer;nie;nie;oft;nie;oft;Nein;50-59;männlich;Ja;Wohnung;Ohne Strom;4;2.900;Ja
1098225;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;oft;selten;k. A.;k. A.;immer;selten;k. A.;k. A.;Nein;k. A.;k. A.;k. A.;k. A.;gelegentlich;k. A.;k. A.;oft;immer;selten;gelegentlich;oft;immer;gelegentlich;gelegentlich;nie;k. A.;oft;immer;gelegentlich;;selten;oft;oft;immer;immer;gelegentlich;nie;Ja;gelegentlich;immer;immer;nie;oft;k. A.;nie;immer;selten;immer;Ja;30-39;männlich;Ja;Wohnung;Mit Strom;2;2.300;Ja
1098226;Nein;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;immer;nie;immer;gelegentlich;gelegentlich;immer;k. A.;Nein;gelegentlich;immer;immer;gelegentlich;immer;Ja;selten;gelegentlich;oft;oft;selten;immer;gelegentlich;oft;immer;gelegentlich;immer;nie;immer;nie;Nein;nie;immer;immer;gelegentlich;immer;nie;nie;Ja;selten;gelegentlich;immer;nie;oft;nie;selten;oft;gelegentlich;oft;Nein;30-39;männlich;Nein;;;;;Ja
1098229;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;oft;selten;immer;k. A.;oft;oft;oft;k. A.;Ja;k. A.;k. A.;k. A.;k. A.;nie;k. A.;oft;oft;gelegentlich;selten;oft;immer;oft;oft;gelegentlich;oft;gelegentlich;oft;immer;;Ja;nie;immer;immer;nie;immer;oft;gelegentlich;Ja;oft;oft;immer;nie;immer;nie;nie;gelegentlich;selten;oft;Ja;30-39;weiblich;Nein;;;;;Ja
1098230;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;immer;nie;k. A.;k. A.;immer;nie;k. A.;k. A.;k. A.;nie;immer;immer;nie;nie;k. A.;nie;gelegentlich;immer;nie;immer;oft;immer;gelegentlich;immer;nie;selten;immer;oft;nie;k. A.;nie;immer;oft;oft;immer;oft;nie;Ja;gelegentlich;selten;nie;nie;gelegentlich;selten;oft;selten;selten;oft;Nein;40-49;männlich;Nein;;;;;Ja
1098231;Ja;Ministerium des Innern;Nein;immer;gelegentlich;immer;immer;immer;selten;;immer;Ja;selten;selten;oft;nie;gelegentlich;Ja;gelegentlich;gelegentlich;immer;gelegentlich;immer;immer;immer;oft;immer;immer;immer;gelegentlich;oft;gelegentlich;;selten;oft;oft;oft;immer;gelegentlich;gelegentlich;Ja;gelegentlich;gelegentlich;selten;nie;nie;nie;oft;selten;nie;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1098235;Ja;Ministerium des Innern;Nein;nie;selten;nie;immer;oft;nie;selten;nie;Nein;nie;k. A.;oft;selten;nie;Nein;selten;gelegentlich;nie;gelegentlich;immer;immer;immer;immer;immer;selten;oft;gelegentlich;immer;oft;Nein;nie;immer;immer;oft;immer;selten;gelegentlich;Ja;selten;gelegentlich;selten;nie;nie;nie;oft;nie;gelegentlich;gelegentlich;Nein;30-39;männlich;Ja;Wohnung;Mit Strom;3;4.500;Ja
