id;einwilligung_teaser;aenderungsmitteilung;name_anbieter;kurzbeschreibung_des_anbieters;kurzbeschreibung_des_angebots;art_der_ermaessigung;website;strasse_und_hausnummer_des_angebots;plz_und_ort_des_angebots;gratis;kategorie;zielgruppen;freigabe;ansprechperson_anrede;ansprechperson_name;ansprechperson_email;einwilligung;empfaenger_recipient;empfaenger_subject;create_date;update_date
117;;;"Gedenkstätte und Museum Sachsenhausen";"Die Mahn- und Gedenkstätte Sachsenhausen informiert über die Geschichte des ehemaligen Konzentrationslagers am authentischen Ort.";;"freier Eintritt für alle Besucher*innen";www.sachsenhausen-sbg.de;"Str. d. Nationen 22";"16515 Oranienburg";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-03-24 15:22:34";"2025-02-24 14:48:49"
118;;;Gemäldegalerie;"Die Gemäldegalerie ist ein Kunstmuseum in Berlin. Sie ist Teil der Staatlichen Museen zu Berlin.";;"freier Eintritt";http://www.smb.museum/gg;Matthäikirchplatz;"10785 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;kommunikationHV@hv.spk-berlin.de;;;;"2025-03-25 15:22:34";"2025-04-25 12:22:21"
119;;;"Georg Kolbe Museum";"Das Georg Kolbe Museum in Berlin ist ein Museum mit den Schwerpunkten Klassische Moderne und Zeitgenössische Kunst und ein Forschungszentrum zur Skulptur der Moderne.";;"Für Nachweis-Inhaber*innen kostenloser Eintritt | Eintritt frei für alle Kinder und Jugendlichen bis 18 Jahre.";http://www.georg-kolbe-museum.de/besuch/;"Sensburger Allee 25";"14055 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-03-26 15:22:34";"2025-02-24 14:48:50"
121;;;"GRIPS Theater gGmbH";"Das Grips-Theater (Eigenschreibweise: GRIPS Theater) ist ein Kinder- und Jugendtheater in der Altonaer Straße am U-Bahnhof Hansaplatz im Berliner Ortsteil Hansaviertel des Bezirks Mitte.";;"""3 Euro Ticket"""" sind an der Abendkasse erhältlich. Reservierungen sind nur für Vorbestellungen am selben Tag telefonisch unter 397474-77 möglich.""";https://www.grips-theater.de/de/;"Altonaer Str. 22";"10557 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-03-28 15:22:34";"2025-02-24 14:48:51"
122;;;"Gropius Bau";"Der Gropius Bau ist eines der bedeutendsten Ausstellungshäuser in Europa. Mit vielbeachteten zeitgenössischen und archäologischen Ausstellungen hat er immer wieder neue Erfahrungsräume eröffnet und seinen internationalen Ruf begründet.";;"Mo, Mi, Do, Fr  11-19 Uhr | Sa, So 10-19 Uhr | Di geschlossen | Die Kasse schließt um 18.15 Uhr.";https://www.berlinerfestspiele.de/gropius-bau;"Niederkirchnerstraße 7";"10963 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-03-29 15:22:34";"2025-02-27 16:26:55"
123;;;"GSJ gGmbH (Gesellschaft für Sport und Jugendsozialarbeit) MädchenSportZentrum Wilde Hütte";"Das MädchenSportZentrum Wilde Hütte bietet ein großes Freizeit und Sportangebot-  und das Beste daran ist: Alles nur für Mädchen!";;"Montag bis Freitag von 12-18 Uhr.";www.wilde-huette.de;"Lückstraße 18";"10317 Berlin";ja;Sport;Kinder;;;;;;;;"2025-03-30 15:22:34";"2025-02-24 14:48:51"
125;;;"Hamburger Bahnhof - Museum für Gegenwart Berlin";"Der Hamburger Bahnhof zeigt auf rund 10.000 Quadratmetern Kunst ab der zweiten Jahrhunderthälfte, wie von Andy Warhol und Roy Lichtenstein.";;"freier Eintritt";https://www.smb.museum/museen-einrichtungen/hamburger-bahnhof/home/;"Invalidenstraße 50";"10557 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-01 15:22:34";"2025-02-24 14:48:52"
126;;;"Hanf Museum Berlin";"Das Hanf Museum ist seit 1994 eine ständige Ausstellung über die alte Kulturpflanze Hanf. Sie befindet sich im Herzen Berlins, im Nikolai-Viertel.";;"ermäßigter Eintritt";www.hanfmuseum.de;"Mühlendamm 5";"10178 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-02 15:22:34";"2025-02-24 14:48:52"
127;;;"Haus der Kulturen der Welt";"Das Haus der Kulturen der Welt widmet sich der Suche nach Strategien für ein besseres Zusammenleben in und mit dieser Welt. Es ist ein Haus, in dem Kulturen der Gastfreundschaft und Konvivialität gepflegt, zur Blüte gebracht und weitergetragen werden.";;"ermäßiger Eintritt (viele Veranstaltungen sind auch eintrittsfrei siehe Website), montags Eintritt frei";https://www.hkw.de/de/;"John-Foster-Dulles-Allee 10";"10557 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-04-03 15:22:34";"2025-02-24 14:48:53"
128;;;"Haus der Sinne";"Im Haus der Sinne finden Tango, Swing, Konzerte, Lesungen und Open-Stage-Abende statt.";;"ermäßigter Eintritt. Der Preis variiert je nach Veranstaltung.";https://hausdersinne-berlin.de/;"Ystader Str. 10";"10437 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-04-04 15:22:34";"2025-02-24 14:48:53"
129;;;"Haus der Wannsee-Konferenz";"Die Gedenkstätte dokumentiert die Wannsee-Konferenz und setzt sich mit Ausstellungen, Bildungsangeboten und einer Bibliothek mit dem Holocaust auseinander.";;"freier Eintritt für alle Besucher*innen";https://www.ghwk.de/de;"Am Großen Wannsee 56-58";"14109 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-05 15:22:34";"2025-02-24 14:48:54"
130;;;"Hebbel am Ufer";"Das HAU ist ein internationales Produktionshaus und Spielort für Festivals, Gastspiele und Koproduktionen, dazu gehören Veranstaltungen aus den Bereichen Theater, Tanz, Performance, Diskurs, Musik und Bildende Kunst.";;"""3 Euro Ticket"""" an der Abendkasse. Ausgenommen sind Premieren, Sonder- und Fremdveranstaltungen, keine Reservierungen.""";https://www.hebbel-am-ufer.de/;"Hallesches Ufer 34";"10963 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-06 15:22:34";"2025-02-24 14:48:54"
131;;;"Heimathafen Neukölln";"Der Heimathafen Neukölln ist ein Kulturraum für freies Theater, Unterhaltung, Debatten, Konzerte, Schauspiel und Performance in Berlin-Neukölln.";;"Nachweis-Inhaber*innen zahlen 3 Euro. Die Verfügbarkeit bitte 30 Min. vor Veranstaltungsbeginn an der Abendkasse erfragen. Gilt nur bei Eigenproduktionen und solange der Vorrat reicht. Infos unter Tel. 220 13 69-80.";https://heimathafen-neukoelln.de/;"Karl-Marx-Straße 141";"12043 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-07 15:22:34";"2025-02-24 14:48:55"
132;;;"Heimatmuseum Zehlendorf";"Das Museum des Heimatvereins Zehlendorf e.V. zeigt die Heimat- und Regionalgeschichte des Bezirks Zehlendorf.";;"freier Eintritt für alle Besucher*innen";www.heimatmuseum-zehlendorf.de;"Clayallee 355";"14169 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-08 15:22:34";"2025-02-24 14:48:55"
133;;;"Horst-Dohm-Eisstadion Wilmersdorf";"Das Eisstadion hat eine 6170 Quadratmeter große Eisfläche, olympiagerechte 400-Meter-Eisschnelllaufbahn, Schlittschuhverleih und -schleiferei,";;"ermäßigter Eintritt";https://www.berlin.de/ba-charlottenburg-wilmersdorf/ueber-den-bezirk/gebaeude-und-anlagen/sportanlagen/eissportanlagen/artikel.162450.php;"Fritz-Wildung-Straße 9";"14199 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie";;;;;;;;"2025-04-09 15:22:34";"2025-02-24 14:48:55"
134;;;"Il KINO";"IL KINO ist ein NEUKÖLLNER KIEZKINO mit BAR und BISTRO";;"ermäßigter Eintritt, täglich ab 10.30 Uhr geöffnet. 9 Euro (statt 11 Euro)";http://ilkino.de/;"Nansenstraße 22";"12047 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-04-10 15:22:34";"2025-02-24 14:48:56"
135;;;"Industriesalon Schöneweide";"Der Industriesalon führt Gäste aus aller Welt durch die herausragenden Zeugnisse historischer Industriearchitektur, die in Schöneweide in seltener Vielfalt erhalten sind.";;"ermäßigter Eintritt. Erwachsene Nachweis-Inhaber*innen erhalten für alle Führungen eine Ermäßigung und zahlen 5 Euro anstatt 10 Euro. Kinder mit Berechtigungsnachweis zahlen 3 Euro. Der Eintritt in den Industriesalon ist generell frei.";http://www.industriesalon.de/;"Reinbeckstraße 9";"12459 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-11 15:22:34";"2025-02-24 14:48:56"
136;;;"Purple- InternationalesTanzfestival für junges Publikum";"Das internationale Tanzfestival für junges Publikum möchte Kinder und Jugendliche für Tanz begeistern. Neben den Tanzstücken für Kinder und Jugendliche finden zusätzliche Familienvorstellungen für Kinder ab drei Jahren statt, in denen speziell Eltern und ihre Kinder zusammen die Möglichkeit haben, zeitgenössischen Tanz zu erleben.";;"Reduzierte Eintrittskarten für Familien mit Kindern/Schüler*innen, Pro Familie hat 1 Kind/Schüler*in freien Eintritt";www.purple-tanzfestival.de;"Am Lokdepot 3";"10965 Berlin";nein;"Kultur, Sport";"Kinder, Erwachsene, Familie";;;;;;;;"2025-04-12 15:22:34";"2025-02-24 14:48:57"
137;;;ISTAF;"Das Internationale Stadionfest Berlin (ISTAF) ist eine traditionsreiche Leichtathletikveranstaltung in Berlin.";;"ermäßigte Tickets der Kategorie 5. Nur buchbar über das ISTAF-Büro und im Vorfeld des ISTAF, nicht an der Tageskasse. ISTAF-Hotline: 301 118 630.";https://www.istaf.de/;"Olympischer Platz 3";"14053 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-13 15:22:34";"2025-02-24 14:48:57"
138;;;"Jagdschloss Grunewald - Stiftung Preußischer Schlösser und Gärten Berlin-Brandenburg";"Berlins ältester Schlossbau ist mit seiner Anlage aus Schloss, Hof und Nebengebäuden ein einzigartiges Beispiel der Renaissancearchitektur in Berlin.";;"freier Eintritt, Bitte beachten Sie die ?ñffnungszeiten und Hinweise vor Ort.";https://www.spsg.de/schloesser-gaerten/objekt/jagdschloss-grunewald/;"Hüttenweg 100";"14193 Berlin";ja;Kultur;"Kinder, Erwachsene, Familie, Senioren";;Frau;"Christine Gürlich-Thiel";c.guerlich-thiel@spsg.de;;c.guerlich-thiel@spsg.de;;"2025-04-14 15:22:34";"2025-04-25 10:39:29"
139;;;"Jobruf Studentenvermittlung";"Bei JOBRUF bewerben sich registrierte Studenten auf Anzeigen mit ihrem eigenen Kurzprofil.";;"Nachweis-Inhaber*innen erhalten 50 % Rabatt auf die Vermittlung von studentischen Umzugshelfern. Bitte senden Sie ein Foto von ihrem Ausweis auf unsere E-Mail-Adresse kundenservice@jobruf.de und wir schicken einen Gutschein für die Umzugshilfe zurück. Ab 19 Euro (abzgl. 50 % Rabatt für Nachweis-Inhaber*innen).";https://www.jobruf.de/umzugshelfer-berlin.html;;Berlin;nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-15 15:22:34";"2025-02-24 14:48:58"
140;;;"Jüdisches Museum";"Das Jüdische Museum ist das größte jüdische Museum Europas und vermittelt mit seinen Ausstellungen und weiteren Angeboten die Geschichte der Juden in Deutschland und jüdische Kultur bis zur Gegenwart.";;"freier Eintritt ins Museum";https://www.jmberlin.de/;"Lindenstraße 9-14";"10969 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-16 15:22:34";"2025-02-24 14:48:58"
141;;;"Jugend im Museum e. V. - Standort Charlottenburg-Wilmersdorf: Naturschutzzentrum ökowerk, Bröhan Museum, Georg Kolbe Museum";"Seit 1972 öffnet JiM Kindern und Jugendlichen mit kreativen Angeboten den Weg zu kultureller Bildung und fördert diversitätssensibles, globales Lernen. Im Mittelpunkt unserer Bildungsarbeit steht das eigene künstlerisch-kreative Tun, das aus der Begegnung mit Berliner Museen heraus inspiriert ist. Über Kunst, Kultur, Natur und Technik erfahren Kinder und Jugendliche mehr vom Weltwissen und von den Weltkulturen. So inspirieren Ausstellungsbesuche, weiten den Horizont und machen vor allem Spaß!";;"50% Ermäßigung auf museumspädagogische Kurse für Kinder, Jugendliche und Familien";www.jugend-im-museum.de;"Teufelsseechaussee 22";"14193 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-17 15:22:34";"2025-02-24 14:48:58"
142;;;"Jugend im Museum e. V. - Standort Friedrichshain-Kreuzberg: Atelier Bunter Jacob in der Berlinischen Galerie, Tierpark Berlin, Werkbundarchiv - Museum der Dinge, JiM Werkstatt Rigaer Straße";"Seit 1972 öffnet JiM Kindern und Jugendlichen mit kreativen Angeboten den Weg zu kultureller Bildung und fördert diversitätssensibles, globales Lernen. Im Mittelpunkt unserer Bildungsarbeit steht das eigene künstlerisch-kreative Tun, das aus der Begegnung mit Berliner Museen heraus inspiriert ist. Über Kunst, Kultur, Natur und Technik erfahren Kinder und Jugendliche mehr vom Weltwissen und von den Weltkulturen. So inspirieren Ausstellungsbesuche, weiten den Horizont und machen vor allem Spaß!";;"50% Ermäßigung auf museumspädagogische Kurse für Kinder, Jugendliche und Familien";www.jugend-im-museum.de;"Alte Jakobstraße 124  128";"10969 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-18 15:22:34";"2025-02-24 14:48:59"
143;;;"Jugend im Museum e. V. - Standort Mitte: Kindergalerie im Bodemuseum";"Seit 1972 öffnet JiM Kindern und Jugendlichen mit kreativen Angeboten den Weg zu kultureller Bildung und fördert diversitätssensibles, globales Lernen. Im Mittelpunkt unserer Bildungsarbeit steht das eigene künstlerisch-kreative Tun, das aus der Begegnung mit Berliner Museen heraus inspiriert ist. Über Kunst, Kultur, Natur und Technik erfahren Kinder und Jugendliche mehr vom Weltwissen und von den Weltkulturen. So inspirieren Ausstellungsbesuche, weiten den Horizont und machen vor allem Spaß!";;"50% Ermäßigung auf museumspädagogische Kurse für Kinder, Jugendliche und Familien";www.jugend-im-museum.de;"Am Kupfergraben 3";"10178 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-19 15:22:34";"2025-02-24 14:48:59"
144;;;"Jugend im Museum e. V. - Standort Pankow: Druckgraphik-Atelier";"Seit 1972 öffnet JiM Kindern und Jugendlichen mit kreativen Angeboten den Weg zu kultureller Bildung und fördert diversitätssensibles, globales Lernen. Im Mittelpunkt unserer Bildungsarbeit steht das eigene künstlerisch-kreative Tun, das aus der Begegnung mit Berliner Museen heraus inspiriert ist. Über Kunst, Kultur, Natur und Technik erfahren Kinder und Jugendliche mehr vom Weltwissen und von den Weltkulturen. So inspirieren Ausstellungsbesuche, weiten den Horizont und machen vor allem Spaß!";;"50% Ermäßigung auf museumspädagogische Kurse für Kinder, Jugendliche und Familien";www.jugend-im-museum.de;"Dietrich-Bonhoeffer-Straße 3";"10407 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-20 15:22:34";"2025-02-24 14:49:00"
145;;;"Jugend im Museum e. V. - Standort Steglitz Zehlendorf: JIM-Werkstatt Hortensienstraße, Juniormuseum sowie JeverNeun";"Seit 1972 öffnet JiM Kindern und Jugendlichen mit kreativen Angeboten den Weg zu kultureller Bildung und fördert diversitätssensibles, globales Lernen. Im Mittelpunkt unserer Bildungsarbeit steht das eigene künstlerisch-kreative Tun, das aus der Begegnung mit Berliner Museen heraus inspiriert ist. Über Kunst, Kultur, Natur und Technik erfahren Kinder und Jugendliche mehr vom Weltwissen und von den Weltkulturen. So inspirieren Ausstellungsbesuche, weiten den Horizont und machen vor allem Spaß!";;"50% Ermäßigung auf museumspädagogische Kurse für Kinder, Jugendliche und Familien";www.jugend-im-museum.de;"Hortensienstraße 29A";"12203 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-21 15:22:34";"2025-02-24 14:49:00"
146;;;"Jugend im Museum e. V. - Standort Tempelhof-Schöneberg: Kinder- und Jugendzentrum Burg";"Seit 1972 öffnet JiM Kindern und Jugendlichen mit kreativen Angeboten den Weg zu kultureller Bildung und fördert diversitätssensibles, globales Lernen. Im Mittelpunkt unserer Bildungsarbeit steht das eigene künstlerisch-kreative Tun, das aus der Begegnung mit Berliner Museen heraus inspiriert ist. Über Kunst, Kultur, Natur und Technik erfahren Kinder und Jugendliche mehr vom Weltwissen und von den Weltkulturen. So inspirieren Ausstellungsbesuche, weiten den Horizont und machen vor allem Spaß!";;"50% Ermäßigung auf museumspädagogische Kurse für Kinder, Jugendliche und Familien";www.jugend-im-museum.de;"Friedrich-Wilhelm-Platz 11";"12161 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-22 15:22:34";"2025-02-24 14:49:00"
147;;;"Jugend Museum";"Das Jugend Museum Schöneberg ist ein Geschichtsmuseum für junge Leute, dessen besonderer Schwerpunkt im interkulturellen und generationsübergreifenden Lernen liegt.";;"freier Eintritt";https://www.museen-tempelhof-schoeneberg.de/jugendmuseum.html;"Hauptstraße 40/42";"10827 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-23 15:22:34";"2025-02-24 14:49:01"
148;;;"JugendKulturService gGmbH - Berliner FamilienPass";"Beim JugendKulturService finden Kinder, Jugendliche und Familien ein umfangreiches Serviceangebot in Kultur, Sport und weiteren Bereichen des Berliner Stadtlebens.";;"ermäßigter Eintritt für Familienkonzerte mit dem Berliner FamilienPass";https://www.jugendkulturservice.de/de/konzerte/konzerte/;"Urbanstr. 100";"10967 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;Frau;"Jeanette Köhler";koehler@jugendkulturservice.de;ja;koehler@jugendkulturservice.de;koehler@jugendkulturservice.de;"2025-04-24 15:22:34";"2025-04-24 14:27:44"
149;;;"JUMP3000 GmbH";"JUMP3000 ist Berlins erster Indoor Parkour- und Trampolinpark";;"ermäßigter Eintritt, Mo-Fr  15-19 Uhr, Sa. 10-20 Uhr, So 10-19 Uhr, Schulferien 10-19 Uhr. 3 Euro Rabatt auf reguläre Sprungzeit / 5 Euro Rabatt auf Familienticket";https://jump3000.de;"Landsberger Str. 217/218";"12623 Berlin";nein;Sport;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-25 15:22:34";"2025-02-24 14:49:01"
150;;;"Kabarett-Theater DISTEL";"Packendes satirisches Theater am Nerv der Zeit mit viel Live Musik im größtem deutschen Ensemble-Kabarett direkt am Bahnhof Friedrichstraße in Berlin Mitte.";;"ermäßigter Eintritt 2 Euro, Montag bis Donnerstag jeweils 2 Stunden vor Vorstellungsbeginn für alle Veranstaltungen - außer Gastspiele, Sonderveranstaltungen, Premieren und an Feiertagen. Pro Berechtigungsnachweis ein Ticket erhältlich.";https://distel-berlin.de/;"Friedrichstraße 101";"10117 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-26 15:22:34";"2025-02-24 14:49:02"
151;;;"Kant Kino";"Das Programm bestreiten vor allem Dogma-, Off-, Musik- und europäische Filme.";;"ermäßigter Eintritt, Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen. Nachweis-Inhaber*innen zahlen nur 5 Euro (plus jeweilige ?úberlängenzuschläge).";https://www.yorck.de/kinos/kant-kino;"Kantstraße 54";"10627 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-04-27 15:22:34";"2025-02-24 14:49:02"
152;;;"Käthe-Kollwitz-Museum Berlin";"Das Käthe-Kollwitz-Museum wurde 1986 in der Fasanenstraße 24 gegründet und widmet sich dem Lebenswerk einer der bedeutendsten Künstlerinnen Deutschlands.";;"freier Eintritt, täglich 11-18 Uhr";https://www.kaethe-kollwitz.berlin/;"Spandauer Damm 10";"14059 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-04-28 15:22:34";"2025-02-24 14:49:02"
153;;;"Kino Arsenal";"Das Arsenal - Institut für Film und Videokunst betreibt ein Kino, Archiv, Verleih sowie die unabhängigen Berlinale-Sektionen Forum und Forum Expanded.";;"ermäßigter Eintritt, 3 Euro pro Vorstellung; ggfs. mit Zuschlag für Klavierbegleitung: 1,50 Euro, für Überlänge ab 150 Minuten: 1,50 Euro, für Überlänge ab 210 Minuten: 2 Euro.";http://www.arsenal-berlin.de;"Potsdamer Str. 2";"10785 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-04-29 15:22:34";"2025-02-24 14:49:03"
154;;;"Kino Blauer Stern";"Seit seiner Wiedereröffnung 1997 präsentiert sich der ""Blaue Stern"""" als Familienkino.""";;"ermäßigter Eintritt, Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen. Nachweis-Inhaber*innen  zahlen nur 5 Euro (plus jeweilige Überlängenzuschläge).";http://www.yorck.de/preise-angebote;"Hermann-Hesse-Straße 11";"13156 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-04-30 15:22:34";"2025-02-24 14:49:04"
155;;;"Kino Central";"Das 1996 gegründete das Arthouse-Kino ""Central"""" im Hof des Hauses Schwarzenberg verfügt über die richtige Balance zwischen Kunst- und Mainstream-Kino.""";"ermäßiger Eintritt";"5 Euro";https://www.kino-central.de/;"Rosenthaler Str. 39";"10178 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";ja;Frau;"Iris Präfke";iris@moviemento.de;ja;;;"2025-05-01 15:22:34";"2025-05-27 12:37:05"
156;;;"Kino Cinema Paris";"Auf dem Programm des ""Cinema Paris"""" stehen überwiegend europäische Produktionen, wovon knapp die Hälfte aus Frankreich (meist in der Originalfassung) stammt.""";;"ermäßigter Eintritt, Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.";https://www.yorck.de/kinos/cinema-paris;"Kurfürstendamm 211";"10719 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-02 15:22:34";"2025-02-24 14:49:05"
157;;;"Kino Delphi Lux";"In sieben einzigartig gestalteten Sälen zeigt das delphi LUX ein abwechlungsreiches, preisgekröntes Filmprogramm von kleinen Perlen bis Publikumslieblingen.";;"ermäßigter Eintritt, Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.";http://www.yorck.de/preise-angebote;"Kantstraße 12A";"10623 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-03 15:22:34";"2025-02-24 14:49:05"
158;;;"Kino International";"Das einstige Premierenhaus der DDR ist auch heute noch eines der wichtigsten Uraufführungskinos in Berlin.";;"ermäßigter Eintritt, Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.";https://www.yorck.de/kinos/cinema-paris;"Karl-Marx-Allee 33";"10178 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-04 15:22:34";"2025-02-24 14:49:05"
159;;;"Kino Moviemento";"Zum Moviemento-Programm gehören auch thematische Filmreihen, Besuche von Regisseuren und Schauspielern sowie die Teilnahme an Filmfestivals.";"ermäßigter Eintritt";"5 Euro";www.moviemento.de;"Kottbusser Damm 22";"10967 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";ja;;"Iris Präfke";iris@moviemento.de;ja;;;"2025-05-05 15:22:34";"2025-05-27 12:33:21"
160;;;"Kino Neues Off";"Einer der schönsten Kinosäle der Stadt findet sich nur wenige Schritte vom Hermannplatz. Das stilvolle 1950er-Ambiente und die erstklassige Filmauswahl machen das Neue Off zu einem ganz besonderen Ort.";;"ermäßigter Eintritt, Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.";http://www.yorck.de/preise-angebote;"Hermannstraße 20";"12049 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-06 15:22:34";"2025-02-24 14:49:06"
161;;;"Kino Odeon";"Für alle, die Originalversionen lieben, ist das Odeon die erste Kinoadresse in Berlin. Und zwar buchstäblich: es war das erste Kino der Stadt, in dem Filme in englischer Originalfassung mit Untertiteln gezeigt wurden. Darin ist es sich treu geblieben.";;"ermäßigter Eintritt, Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.";http://www.yorck.de/preise-angebote;"Hauptstraße 116";"10827 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-07 15:22:34";"2025-02-24 14:49:07"
162;;;"Kino Passage";"Goldener Stuck, roter Samt und über 100 Jahre Geschichte machen das Passage zu einem Liebling unter den Neuköllner Kinos. ";;"ermäßigter Eintritt, Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.";http://www.yorck.de/preise-angebote;"Karl-Marx-Straße 131";"12043 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-08 15:22:34";"2025-02-24 14:49:07"
163;;;"Kino Rollberg";"In keinem anderen Berliner Kino wird eine so große Auswahl an Originalversionen gezeigt - in einem Mix aus internationaler Filmkunst, Indie und anspruchsvollen Hollywood-Produktionen.";;"ermäßigter Eintritt, Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.";http://www.yorck.de/preise-angebote;"Rollbergstraße 70";"12049 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-09 15:22:34";"2025-02-24 14:49:08"
164;;;"Kino Toni";"Das Programm besteht überwiegend aus deutschen und europäischen Filmen. Es wird seit vielen Jahren mit dem Kinoprogrammpreis ausgezeichnet.";;"ermäßigter Eintritt";https://www.kino-toni.de/;"Antonplatz 1";"13086 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-10 15:22:34";"2025-02-24 14:49:08"
165;;;"Kino Union Friedrichshagen";"Geboten wird nicht nur ein ausgewähltes Kinoprogramm, sondern auch regelmäßige Tanzveranstaltungen für Jung und Alt, Konzerte, Theater, Lesungen.";;"ermäßigter Eintritt, Gilt nicht bei Sondercontent, Zuschläge für 3D,Überlänge usw. sind ggfs. zusätzlich zu entrichten";https://www.kino-union.de/;"Bölschestraße 69";"12587 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-11 15:22:34";"2025-02-24 14:49:09"
166;;;"Kino Yorck / New Yorck";"Die Yorck Kinogruppe ist der größte Kinoverband Berlins. In 14 Kinos finden Filmfreunde eine Mischung aus Arthouse, aktuellen Hollywood-Produktionen und europäischer Filmkunst auf der Leinwand vor. ";;"ermäßigter Eintritt, Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.";http://www.yorck.de/preise-angebote;"Yorckstraße 86";"10965 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-12 15:22:34";"2025-02-24 14:49:09"
